nome,cpf,email,sexo,idade,nota ENEM,Abandono,semestre do abandono,CRA 2o semestre,CRA 4o semestre,CRA 6o semestre
Breno Nascimento,705.289.316-95,isadora31@example.org,masculino,19,719.643752534952,False,,9.3512269571617,5.180239615012314,9.824860192791881
Francisco Souza,546.018.729-01,isadoracorreia@example.org,masculino,20,714.9408350486541,True,8.0,9.37180623075609,5.394188801370042,9.955963974216793
Yasmin Silveira,593.148.620-89,da-mataemanuel@example.org,feminino,24,664.3370440170261,True,3.0,6.433900732728235,,
Luiz Henrique Nogueira,813.629.074-13,costamarcos-vinicius@example.org,masculino,21,646.1012346819751,True,5.0,7.9358558238789225,8.95385804788826,
Pedro Henrique da Paz,950.361.274-80,bsouza@example.net,masculino,21,725.6528425418267,True,2.0,,,
Dr. Vitor Gabriel Azevedo,405.729.163-61,pereiradavi-lucas@example.com,masculino,20,737.3421049787977,False,,7.706714620186766,8.416525007316338,9.391568768602308
Antônio da Cunha,542.370.698-00,rodriguesjoao-pedro@example.net,masculino,28,707.2410877988319,False,,7.596532178275971,7.344586919351726,5.624517139531594
Lívia Rezende,895.164.320-42,brenosilva@example.net,feminino,27,728.6642380095681,False,,7.462280075181878,5.274446247777107,6.348467796460707
Sra. Isabel Pires,061.243.987-96,gcorreia@example.net,feminino,27,692.4929853968628,False,,6.3471247217312605,9.28607547444486,8.692821769179375
Sr. Breno Fogaça,809.162.574-01,ana-liviacunha@example.net,masculino,23,778.4807138445242,False,,7.451483209364133,9.188570398144542,8.86310932178353
Danilo da Rosa,605.148.379-93,castroisis@example.net,masculino,18,760.2834954940868,True,3.0,6.773390988389705,,
Ana Sophia Porto,654.012.937-80,barbara35@example.com,feminino,22,666.0396482257661,False,,8.774521675423795,8.62887639414409,7.278392514394192
Sr. Lucas da Cruz,071.965.482-30,lucas-gabriel80@example.org,masculino,28,687.0542317761848,False,,6.750482141408871,9.640518356024849,8.320193944547443
Evelyn Martins,712.358.649-28,joao-felipe10@example.net,feminino,21,793.6946088721256,False,,6.492872221462118,5.744286453392786,5.593584996643259
Lucas das Neves,512.309.867-40,ribeirovalentina@example.net,masculino,24,710.6081847993822,False,,7.943562222957043,9.635970899873694,9.210583490321532
Sr. Marcos Vinicius Alves,397.128.456-64,nogueiraemanuelly@example.com,masculino,19,719.0986259271067,False,,7.6933031092246535,8.411030893380316,7.059272905368278
Joana da Cunha,074.169.582-02,emilly41@example.net,feminino,23,742.6196694524949,True,8.0,5.396704704082069,9.583235238027374,8.87836033535206
Dr. Vicente Duarte,051.234.796-43,dporto@example.org,masculino,18,754.7943928612681,True,3.0,6.461794080399089,,
Lívia da Rocha,163.798.024-87,thalesmartins@example.org,feminino,19,671.1380617255976,False,,6.580686836884899,7.843944291451436,9.653504708850045
Davi Sales,806.473.951-93,kramos@example.com,masculino,18,785.7678807093519,False,,5.786826217600871,9.000144946600813,7.350112237250641
Ian Farias,061.487.395-93,cavalcantivicente@example.org,masculino,21,646.8082538905509,False,,7.347885506204884,6.447012725436597,6.378054223592473
Pedro Henrique Cunha,901.587.246-58,diogofogaca@example.com,masculino,26,665.1730961070149,False,,6.5775190670938715,7.466674709094104,5.923106474943774
Dr. Leonardo da Luz,012.589.463-51,bmartins@example.com,masculino,21,759.8049454038002,True,3.0,6.9509224608462725,,
Gustavo Henrique da Costa,294.831.567-00,cardosoamanda@example.com,masculino,22,677.961243888444,True,6.0,8.249580683647343,5.814330562280345,5.597361126331498
Cecília das Neves,739.045.216-16,oliveiranicole@example.org,feminino,21,776.8047351935554,False,,5.944414130557208,6.375444449413736,7.441907176288749
Caroline Jesus,745.039.821-41,ida-rosa@example.com,feminino,20,744.1620518903172,True,4.0,5.610417408751838,,
Kevin Peixoto,125.368.947-46,alexia14@example.net,masculino,20,641.0010331237274,False,,7.050592791843535,6.340539114514598,5.766676450716537
Nina Lopes,568.243.071-90,larissa80@example.net,feminino,18,649.7993728688494,False,,9.238179466857794,5.610702915592305,9.216484355052671
Marcela Carvalho,638.742.105-53,heitorcastro@example.net,feminino,27,723.5114129197021,True,6.0,8.469289091217828,8.376178811947783,8.724348462477375
Pedro Lucas Santos,973.514.620-70,yasmin90@example.com,masculino,19,744.3199574767723,False,,6.918253098008081,5.397510163709436,5.229276476993952
Bárbara Dias,913.872.605-02,alexandre10@example.net,feminino,28,671.38274492968,True,8.0,6.283384996681001,5.6260162519542,6.83554108575492
Isabel Peixoto,951.063.847-10,moreiramaria-fernanda@example.org,feminino,27,743.3214264430462,False,,6.664192741475108,9.45878511643534,9.03272850386902
Isis Silveira,945.321.067-61,earaujo@example.org,feminino,22,767.5096953353127,True,7.0,8.317598114270808,7.163887910252791,8.164810496914026
Sra. Gabriela Ferreira,895.247.031-14,enzoaragao@example.com,feminino,27,660.7074414821673,False,,5.931785933863117,6.361835647077214,7.4691944091660325
Rafael da Costa,689.345.172-55,omonteiro@example.com,masculino,29,678.4681829676865,False,,5.908921370419001,5.237798542763584,6.295225588143925
Bruna da Paz,287.561.043-08,joao-gabriel32@example.net,feminino,23,728.9290845580342,True,9.0,8.7177297112652,9.260868084331037,9.845576382029982
Calebe Peixoto,801.497.632-04,pireskamilly@example.com,masculino,28,791.2523327089309,False,,5.9944556497181045,9.225252301730617,5.520404471836616
Sarah Farias,103.275.469-99,caroline24@example.org,feminino,23,652.4983100143686,False,,6.682898257516568,6.185213479847354,9.96452124291799
Maria Cecília Ramos,328.419.507-60,martinseloah@example.org,feminino,24,678.9040240011806,True,3.0,9.119950313430358,,
Srta. Juliana Gomes,561.302.749-80,hdias@example.com,feminino,19,691.514962381088,True,9.0,5.812061135831522,7.23036214821073,9.027771373725841
Ana Beatriz Lima,693.180.724-22,fogacasabrina@example.net,feminino,20,726.4044683976165,False,,7.222561824295715,7.082126491363615,6.417438330954409
Agatha Cavalcanti,819.537.462-09,krezende@example.com,feminino,26,758.3520694345966,True,8.0,5.5822141087272055,6.656411390549467,9.955609539112402
Dr. Luiz Henrique Rodrigues,076.348.925-56,cunhagabrielly@example.com,masculino,19,725.1481254832377,True,7.0,8.945292191771506,7.9606748666346165,6.854486336400353
Luna Sales,876.243.015-71,da-cunhamarcos-vinicius@example.org,feminino,25,738.1864360403307,False,,7.908427962448521,9.560564313778315,6.213682457409089
Sr. Lucca Freitas,239.467.081-96,enzo-gabriel21@example.org,masculino,28,641.2375558499444,True,9.0,8.342985934326752,7.180217945674235,6.3828280007341265
Dra. Ana Julia Lima,967.012.385-21,almeidaana-luiza@example.org,feminino,28,777.1588565924051,True,3.0,7.686534842897227,,
Amanda Campos,328.196.754-09,das-nevesmatheus@example.com,feminino,29,788.950836695488,False,,9.61945072052973,7.994351453074193,5.993268454513149
Srta. Ana Lívia Aragão,849.257.631-64,hda-rocha@example.com,feminino,22,661.4586956863238,False,,9.852528585325885,6.5190563980393,9.34497013726554
Otávio Cavalcanti,270.395.184-14,xsantos@example.com,masculino,25,770.5682592559219,False,,7.040392005328755,8.144783194537526,5.00836388925037
Raquel Freitas,738.026.451-62,joanamoura@example.net,feminino,19,757.6794735257093,False,,9.07104233682567,7.913390734368669,6.572582899485575
Kamilly Duarte,359.674.082-74,wcostela@example.com,feminino,26,642.1743023176748,True,6.0,6.838334609140082,9.49333291433566,7.486383348017689
Júlia das Neves,960.153.487-39,gcastro@example.org,feminino,18,794.0834597935058,True,7.0,7.229874866769385,7.66681657698234,5.661038215249443
Sofia Rodrigues,702.614.895-85,leticianunes@example.org,feminino,18,784.8818703289926,True,7.0,9.684760761444153,9.064643754616366,6.341084733673922
Sofia Melo,892.406.731-13,emanuelly34@example.org,feminino,28,730.1197926713446,True,1.0,,,
Pedro Lucas Caldeira,179.862.045-67,lararamos@example.org,masculino,29,758.1901179670806,False,,8.463831294158005,5.958069494836192,9.413487168734145
Alícia Campos,429.503.617-06,larissapeixoto@example.com,feminino,19,760.6753819963021,True,9.0,8.59860030885171,5.477075546037314,7.634018827819349
Emilly Pires,461.750.382-07,samueljesus@example.org,feminino,23,669.8266400202615,False,,7.437532289694921,8.639962137244007,8.180415700730265
Guilherme Costa,263.581.490-24,icarvalho@example.com,masculino,26,732.501546226012,False,,6.695138118018869,5.39945390111569,9.376926423627225
Sr. Daniel Peixoto,261.980.753-03,ana-sophiaferreira@example.com,masculino,20,661.3055618466266,False,,5.8853457570958865,9.01702166514685,6.442302725119886
Dra. Ana da Mata,328.054.619-24,maria-vitoriada-luz@example.net,feminino,20,671.3244729681688,True,3.0,7.23592021646733,,
Guilherme Duarte,620.348.597-74,oazevedo@example.com,masculino,27,694.2419108425182,True,6.0,6.480768475798095,5.368462063788039,5.137374693256827
Benício Gonçalves,436.702.985-92,silveiraotavio@example.net,masculino,19,680.2487289181406,False,,6.651352584999486,9.231184416488283,9.13543218784298
Eduarda Ramos,894.237.560-00,luiz-felipe66@example.org,feminino,27,711.3113357142081,False,,6.989266541998031,5.222911883086231,8.1617279615443
Lavínia Lopes,295.864.071-01,maria-alice63@example.com,feminino,21,765.6220532152324,False,,9.069571962573637,8.311713023392754,8.725087444382948
Isis Rezende,194.385.672-91,pintomaysa@example.net,feminino,21,652.005753316427,True,8.0,8.976121284234416,5.064181342590335,8.19882683320007
Marcela Almeida,384.970.512-97,vitor-gabriel74@example.org,feminino,26,700.0558542267349,False,,9.685440568510792,6.678894511579342,8.88465903885448
Guilherme Alves,279.341.860-96,joao-lucas92@example.org,masculino,24,757.2441415513293,True,3.0,9.44640494695171,,
Cauê das Neves,092.756.143-34,zmendes@example.com,masculino,22,671.3077307049986,True,3.0,9.582783321821113,,
Carlos Eduardo Costa,936.410.287-87,joao-pedrocorreia@example.com,masculino,28,703.3358914357774,False,,5.203048683207484,6.197368407512834,6.942998726167412
Isadora Carvalho,210.965.473-25,joaosales@example.com,feminino,23,664.2980472605823,False,,6.331163797912096,5.6495643875738235,5.228938866310181
Ana Laura Almeida,362.705.481-44,zcorreia@example.org,feminino,18,739.934684869094,False,,7.8699426884615775,9.135238541562757,7.3077437727479655
Theo da Luz,389.456.102-51,frocha@example.net,masculino,24,724.3070311855003,True,7.0,6.97459494860388,7.843562257375618,5.909855251345914
Juan Azevedo,390.682.157-95,eduardacampos@example.com,masculino,28,677.1892363937404,True,3.0,7.677199767333436,,
Lorena Correia,940.851.263-42,thales96@example.net,feminino,23,675.7470976076054,True,2.0,,,
Antônio Almeida,287.041.953-88,julia28@example.org,masculino,24,787.6096475057328,False,,6.328302748522567,9.601562185679871,9.980081129553628
Matheus Pires,230.957.816-95,arthur35@example.net,masculino,21,667.330513977824,False,,9.662118693742064,6.584982477466856,5.068168695378018
Maria Cecília Barros,916.804.537-93,joao-pedrocunha@example.com,feminino,25,706.1317925924106,False,,9.87138775507308,5.721743798755734,9.378562047393189
Luiza Sales,387.469.210-87,diogo04@example.org,feminino,19,725.2051805657628,True,4.0,9.37755678932682,,
Sophie da Mata,024.981.637-78,caldeiraluiz-otavio@example.org,feminino,23,797.3765180229506,True,3.0,7.819889984789634,,
Enzo Azevedo,097.215.643-70,stephany18@example.net,masculino,25,646.8331409541312,True,4.0,7.1942832262905165,,
Miguel Campos,013.568.729-21,glopes@example.org,masculino,20,776.9437767492301,True,8.0,5.886033480940056,5.579062240874594,5.699688643191802
Mirella Lima,013.725.684-17,monteiroluiz-miguel@example.net,feminino,27,718.8071498931644,False,,5.481035189060734,6.806664129843297,9.569666717265743
Sra. Lavínia Caldeira,672.841.503-35,barbaraporto@example.net,feminino,22,699.2008979941633,True,9.0,7.390239620161745,6.324123820315229,6.903235746426935
Dra. Luiza Souza,736.245.089-38,lorenzo11@example.com,feminino,26,793.7160557970957,False,,9.488039910863867,9.696579145643696,6.128960808762861
Ana Carolina Moreira,964.710.328-03,ana-laura69@example.com,feminino,18,690.1164959438038,True,8.0,5.004835221398423,6.7570566495875415,9.020767146111233
Dra. Eloah Nascimento,157.208.639-40,da-pazvitoria@example.net,feminino,28,693.3380957789144,False,,6.609761685858183,9.637211621006315,5.287367265378786
Helena Farias,571.642.098-20,barbaracunha@example.com,feminino,28,677.1069285275594,True,8.0,8.801519680715163,5.70630215483036,6.691836066329662
Dra. Ana Laura Monteiro,583.074.691-39,xda-cruz@example.net,feminino,19,692.5476154354095,True,1.0,,,
Yuri Teixeira,915.360.487-39,carolinearagao@example.net,masculino,21,663.056855743323,True,9.0,6.832026425308937,5.321975962063176,9.843895804083848
Vinicius Freitas,120.586.739-21,anafogaca@example.net,masculino,26,780.8388534073562,True,8.0,5.830528862585755,5.846528511336748,9.57369107920384
Sra. Lívia da Conceição,432.957.180-32,theomonteiro@example.com,feminino,26,667.7077336470207,True,1.0,,,
Luna Ribeiro,681.345.097-20,da-motadavi-lucas@example.net,feminino,29,772.9390589032124,False,,6.675594062144066,7.568220877165141,8.778761013283152
Pietro das Neves,289.704.315-60,vitoria84@example.com,masculino,21,755.805054361307,False,,5.175367329548263,9.143489071738593,6.891658882317225
Matheus Rezende,569.341.287-37,eduarda69@example.net,masculino,23,742.4390611853676,True,9.0,9.217415919608406,9.3287252624915,6.711425938588578
Guilherme Jesus,039.214.865-05,renanmoura@example.com,masculino,28,761.5396995780366,True,2.0,,,
Sr. Miguel Pinto,387.240.195-50,rsales@example.org,masculino,23,787.3051761217073,False,,9.168367373625548,7.863300146777223,7.182463222430248
João Silveira,729.305.416-52,biancafogaca@example.net,masculino,26,793.0366662716668,True,2.0,,,
Isadora Viana,214.963.075-34,jesusvitoria@example.org,feminino,18,689.0330712135332,False,,5.770213934039324,8.681182627103471,6.709303677301833
Lívia da Costa,731.260.948-13,rebecamendes@example.org,feminino,26,788.9805618326778,True,7.0,5.359837183948229,7.446418386574054,7.852537431066503
Stella Viana,482.673.051-90,juliaduarte@example.org,feminino,19,737.145290185433,False,,5.199152874962407,9.070067897496086,5.848359126730532
Larissa Moura,512.389.607-40,zmelo@example.net,feminino,27,748.2105143349036,True,4.0,7.033659620492329,,
Isis Alves,963.825.701-68,umoura@example.com,feminino,21,683.604357642223,False,,7.935226804550679,9.56508676952712,8.993290197421445
Dra. Alice Pereira,630.825.917-95,ipereira@example.org,feminino,23,771.5275895652474,True,5.0,6.437582156121533,8.254530363599619,
Srta. Luna da Costa,367.409.218-22,duartekamilly@example.net,feminino,28,717.0720924764706,False,,9.715051074028601,9.505782924989973,7.279949109936776
Sr. Danilo da Cruz,392.410.675-43,livia87@example.org,masculino,26,782.1055732315092,False,,7.520508272126782,7.390057199541551,6.507132925748789
Marcela Oliveira,607.483.951-48,souzaisabella@example.net,feminino,25,696.1074518879805,True,3.0,9.379977960870097,,
Giovanna Porto,324.908.571-50,sofiaazevedo@example.org,feminino,21,731.0382210591297,True,5.0,8.266093243805905,8.949186011029857,
Vitor Hugo Cavalcanti,031.768.924-03,ecarvalho@example.org,masculino,19,725.5275648922052,False,,9.117516690659404,6.71925261065554,8.566213729660642
Dr. Diego Gonçalves,067.354.182-71,luigimoreira@example.net,masculino,18,748.6555715268315,True,9.0,8.257737411665449,7.461853398776773,6.703019606521715
Dra. Ana Sophia da Mota,847.319.265-64,bcavalcanti@example.com,feminino,25,771.1175171454411,True,2.0,,,
Marcelo Moura,206.794.583-10,thomascaldeira@example.com,masculino,25,674.5694834020533,True,8.0,5.399722311054162,6.387690661755805,5.366162409157477
Ana Júlia da Cunha,925.714.863-73,rda-rosa@example.net,feminino,29,768.33624915869,True,5.0,9.484253412984348,5.40891320077472,
Catarina Correia,652.783.401-26,thomasdias@example.com,feminino,25,646.8459279909644,False,,7.91675488978159,7.539466829040183,7.152855113385232
Augusto Cardoso,853.496.210-33,isabellaaraujo@example.org,masculino,22,641.3198524267817,True,3.0,6.733098022187514,,
Isabella da Rocha,819.506.243-15,raquel52@example.org,feminino,18,692.9629035114924,False,,8.065891674914846,5.550989031524355,9.69999661664286
João Felipe Correia,372.106.598-03,larasantos@example.org,masculino,23,740.9185645568803,True,9.0,6.7469809264490195,9.98854254984527,8.065736370445936
Lavínia da Cunha,895.234.701-32,isisporto@example.com,feminino,27,719.457505263553,True,5.0,7.064212822788534,6.422779283689675,
Bianca Castro,914.085.732-88,gabriela89@example.net,feminino,24,664.691189064001,False,,7.86391727961545,6.658786981014213,8.425127238313186
Ana Beatriz Cavalcanti,315.769.804-48,maysaferreira@example.org,feminino,26,723.8691553068936,True,4.0,8.98857701521869,,
Lorena Nunes,951.847.360-93,da-matafrancisco@example.net,feminino,27,650.1870267634719,False,,6.849586489548958,8.005309206570319,8.895866686035728
Vitor Hugo Cardoso,810.432.675-90,cardosoagatha@example.com,masculino,27,669.3384212282084,True,5.0,6.12636364867533,6.611532138265921,
Stella das Neves,463.819.572-55,joaquimcardoso@example.net,feminino,23,694.4883254187683,True,9.0,6.170379206836953,5.567526678581133,8.232614689850193
Ryan Porto,273.091.485-41,da-motadavi@example.com,masculino,21,678.38151449808,False,,5.207937409905049,9.193646526432772,8.03736346552418
Thomas Rodrigues,019.287.534-50,sabrina79@example.com,masculino,29,710.5920764548227,True,4.0,8.543222318119952,,
Juan Novaes,782.390.541-88,qaragao@example.com,masculino,28,649.8675326952132,True,2.0,,,
Catarina Ribeiro,156.792.403-43,clarice96@example.org,feminino,18,698.5477609781441,False,,5.260195170597338,8.457108780160262,7.854313444137524
João Gabriel da Paz,614.892.073-50,erick97@example.com,masculino,25,690.2038571774099,True,1.0,,,
João Lucas Cardoso,743.629.581-00,lda-rocha@example.com,masculino,19,762.3832818566966,True,7.0,6.495084719787911,7.970146470754811,9.238217401556518
Lavínia Lima,876.951.043-10,marina30@example.net,feminino,25,776.478423858963,False,,7.056461261235543,9.061171509144888,6.324637119485555
Sr. Eduardo Monteiro,932.850.614-05,aliceteixeira@example.com,masculino,28,774.814678670691,False,,7.014585439999699,8.339053436661356,6.167586654193583
Sophie Cunha,062.753.819-30,joao-felipesilveira@example.org,feminino,23,732.2934004014925,True,3.0,5.094814628848856,,
Luigi Rezende,412.305.698-98,dalves@example.com,masculino,22,660.2069947974892,False,,9.04286932697843,7.979239043072451,7.224222522862021
Igor Costa,492.031.867-78,zrocha@example.com,masculino,20,681.766954457713,True,8.0,7.050529931454383,7.550939194772259,7.186236781205615
Eduardo Freitas,349.178.625-82,laraazevedo@example.com,masculino,22,722.5425950084802,False,,5.774436199711966,6.984143260722566,6.4771708487250415
Joaquim Melo,265.809.714-01,ribeirolavinia@example.org,masculino,27,646.5327925456512,False,,6.467225908898664,7.793536976316851,7.584969125484237
Caio Ribeiro,360.289.751-68,lucas-gabriel89@example.org,masculino,25,733.7627140892424,False,,8.972874079741468,9.856285263562576,8.034700594662718
Carlos Eduardo da Costa,426.015.789-20,isadora66@example.com,masculino,21,750.0571746856295,False,,9.099615262368548,8.794762499911997,6.270176827566502
Pedro Miguel Moreira,091.578.234-05,enzo-gabriel14@example.com,masculino,18,790.7612915253209,True,9.0,8.642191591858593,5.456438620747387,8.546033338437617
Raul Azevedo,049.153.786-75,gcavalcanti@example.org,masculino,29,749.3465857235649,True,1.0,,,
Kamilly Oliveira,624.153.079-80,da-mataluna@example.org,feminino,24,776.9541305097205,True,7.0,8.079905125770331,9.080374956557424,9.683260540631487
Vinicius Sales,867.943.251-28,francisco72@example.net,masculino,27,740.4264014163131,False,,5.0970624603837695,6.929317249072558,7.239030152022906
Vitor Rodrigues,365.078.124-71,mariafogaca@example.com,masculino,29,662.7536934408914,True,1.0,,,
Maria Luiza Nogueira,954.126.830-70,agatha57@example.net,feminino,19,763.2064324787505,False,,8.201231504152963,9.353177527579147,6.110336780681751
Natália Pires,803.125.947-04,yribeiro@example.org,feminino,20,714.216168069268,False,,6.477215395637067,8.386180676728063,9.091505886141615
Maria Costa,761.028.954-01,anthony41@example.com,feminino,21,656.9007406266405,False,,7.67623131230913,9.981438975406707,9.34560908774916
Davi Lucca Ramos,319.572.084-14,vda-rocha@example.net,masculino,29,760.8829392977246,True,1.0,,,
Lívia Castro,017.625.893-03,maria-eduardadias@example.net,feminino,25,779.7392427680088,True,4.0,8.70204194549715,,
Yasmin Moreira,157.496.238-82,qdas-neves@example.org,feminino,19,700.7419966945895,False,,6.545946468861694,8.155508134611477,6.568139860688416
Emanuelly Fogaça,463.879.015-10,castroagatha@example.net,feminino,20,783.7757036739542,True,7.0,8.11863027642462,8.03070664367397,6.703929285510995
Emanuella Dias,894.230.561-05,yasminlima@example.net,feminino,25,715.8087393600321,False,,5.3728608418819555,9.553313143330259,5.39904332346946
João Guilherme Lima,453.918.672-82,marina10@example.net,masculino,21,684.8123363427229,False,,6.550855369094668,8.228025389609222,8.829038918633568
Ana Clara da Luz,083.976.451-01,leandro34@example.org,feminino,29,774.776424211509,True,7.0,8.02546149237736,6.013355847422622,8.799547742352697
Rebeca da Mota,194.307.285-04,pedrolima@example.net,feminino,18,798.0902576925407,True,9.0,7.956491147295798,9.419281610875345,7.176653753863496
