,NOME,CPF,IDADE,SEXO,E-MAIL,NOTA ENEM,CRA 2°,CRA 4°,CRA 6°,ABANDONO,SEMESTRE DE ABANDONO
52,Arthur Ramos,560.749.328-83,26,M,wcarvalho@example.org,765,,,,True,1
53,Bruna da Conceição,785.129.436-37,18,F,igoncalves@example.net,699,6.003209367887223,,,True,5
54,Lívia Rezende,249.301.586-05,26,M,tcostela@example.com,679,7.54885759129961,7.245328488127148,5.845231336105049,False,8
55,Eduardo Barbosa,631.840.927-04,27,F,esther29@example.org,738,5.432513139069307,9.984286423528612,6.940934205977291,False,8
56,Dr. Caio Azevedo,086.712.539-02,27,M,nunesvitor@example.net,671,,,,True,2
57,Gustavo Teixeira,612.597.384-00,21,M,danielpeixoto@example.org,771,6.645133089351553,6.535007635712744,9.265955963860453,False,8
58,Dr. Luiz Otávio Mendes,790.516.823-95,27,M,nascimentoryan@example.net,687,9.882230085189615,7.384927665654754,7.272959215662812,False,8
59,Ana Vitória Pires,482.031.657-53,21,F,thomas42@example.com,657,5.750570582872705,5.277857774335165,7.285404032360371,False,8
60,Dra. Luna Farias,704.695.813-01,22,F,davi-lucca11@example.org,698,6.582182159552103,7.136195662677341,6.062127065221412,False,8
61,Srta. Isabella da Costa,359.684.027-92,27,F,caue87@example.net,733,8.764079202898145,9.199510946360068,8.378447497972868,False,8
62,Sr. Igor da Conceição,627.041.539-06,19,F,barbarapires@example.net,641,9.419420904637153,9.469198692534682,8.14931823389289,False,8
63,Luiz Gustavo Martins,958.364.072-74,20,M,correiadavi-lucca@example.org,709,5.4385315053241285,,,True,6
64,Emanuel da Paz,307.982.614-04,24,M,ana-carolina44@example.net,666,9.721885502719669,7.097329943062329,7.546035809968201,False,8
65,Heloísa Aragão,730.124.659-52,19,F,cauecardoso@example.org,764,7.325954051374845,,,True,4
66,Alana Monteiro,467.281.903-50,23,M,dramos@example.com,696,9.43629022046601,8.700737644119847,7.0513545598433,False,8
67,Leonardo Pires,753.410.698-20,23,F,mirellacunha@example.org,779,7.672212049425305,,,True,4
68,Dr. Pietro da Mata,563.170.942-25,25,M,ocastro@example.org,689,5.182388898940812,,,True,3
69,Clara Aragão,741.896.023-96,25,M,maria-juliada-luz@example.org,677,8.747927259898665,8.587709049989792,5.027556901745646,False,8
70,Theo Correia,627.835.019-02,24,F,da-cunhaian@example.org,679,7.6552878717983806,6.123198550779503,6.697815310204804,False,8
71,Paulo Moraes,679.503.824-65,22,M,zrocha@example.org,662,7.569099328835065,8.009706148768243,7.910431891067271,False,8
72,Pedro Miguel Lopes,512.869.074-11,22,M,amandaferreira@example.com,716,5.175694341929097,8.083215869123721,8.38440028034912,False,8
73,Dra. Maitê Dias,301.549.287-04,18,M,camposlavinia@example.net,763,,,,True,2
74,Vicente Lopes,274.530.819-04,22,F,barbara88@example.com,762,8.953395318298146,5.627157460526256,5.290091646140696,False,8
75,Isabella Carvalho,258.901.476-76,19,M,da-costamarcelo@example.com,721,,,,True,1
76,Srta. Ana Clara Pires,932.801.475-14,21,M,limajoao-lucas@example.org,767,6.431270042226907,,,True,4
77,Luiz Henrique Cardoso,725.608.139-12,24,F,olivia66@example.net,647,,,,True,2
78,Miguel Nunes,749.820.613-78,18,M,mouralavinia@example.org,650,7.817459009939341,7.4686274193916695,9.53263906626801,False,8
79,Lorenzo da Mata,370.986.452-65,20,F,pereiracamila@example.org,782,6.775632968489959,,,True,5
80,Dra. Daniela Costa,238.690.157-21,24,F,pedro-migueljesus@example.org,689,6.947458691478166,9.774412623434117,8.770388915786175,False,8
81,Sr. Diogo Azevedo,340.568.129-42,26,M,xaraujo@example.com,660,8.822160616570851,9.733716856908844,7.251587047943826,False,8
82,Eloah Novaes,126.354.087-26,19,M,icastro@example.org,757,6.426301188483372,7.150529484025558,8.109320953093246,False,8
83,Marcos Vinicius Almeida,843.916.752-00,25,F,marina43@example.net,763,,,,True,2
84,Isabella Oliveira,926.413.580-42,19,F,rodrigo31@example.com,712,,,,True,2
85,Fernanda Lima,634.198.725-00,22,F,ujesus@example.net,649,5.839045591111697,,,True,5
86,Caroline Cardoso,352.418.096-51,25,F,raquelda-cunha@example.net,770,9.224311318267429,,,True,6
87,Eloah da Mata,395.870.142-60,19,M,fmoreira@example.org,653,7.546268780019265,8.576391289655469,5.992347839646881,False,8
88,Kevin Nunes,687.250.914-76,18,F,pribeiro@example.com,709,8.40199630499931,,,True,6
89,Pedro Miguel Alves,475.608.123-17,19,M,lda-luz@example.net,770,8.483136180390007,,,True,3
90,Yago Carvalho,397.056.824-29,18,M,peixotoclara@example.net,773,8.487747810777513,5.653631797043001,6.964754325336227,False,8
91,Rafael Costela,273.016.945-80,21,F,joao-guilherme98@example.com,718,5.571524391975091,8.178061513365215,7.733991095672573,False,8
92,Ana Laura Silveira,913.476.805-00,20,F,nogueiraluiz-miguel@example.com,675,5.9860915579877885,6.880583404374599,8.092591736777488,False,8
93,Gabrielly Fernandes,843.679.105-39,19,F,isabellacardoso@example.org,780,6.176891851416689,8.274788238513361,7.254581947701126,False,8
94,Sra. Ana Carolina Moraes,479.083.521-97,25,M,lunamartins@example.com,757,,,,True,2
95,Erick Costela,359.468.127-00,26,M,castrorafael@example.com,789,8.745459554834811,,,True,4
96,Srta. Ana Laura da Conceição,950.278.436-74,21,F,alvescecilia@example.com,740,7.249544662990635,8.61970485045402,6.594366269298532,False,8
97,Bernardo Barbosa,710.256.493-70,21,F,vitor-gabrielbarbosa@example.com,750,7.14426014340516,9.772648168922615,9.782664260608936,False,8
98,Breno Cardoso,704.356.819-66,22,F,nathancunha@example.com,679,,,,True,2
99,Ana Carolina Ferreira,237.654.190-52,26,M,leandrobarros@example.org,787,8.732289157612644,8.0998856075729,5.553593491329739,False,8
100,Dra. Alice Cunha,825.091.364-70,27,M,alexandreazevedo@example.net,797,9.184233186942485,,,True,7
101,Calebe Farias,981.402.756-11,27,M,brenda23@example.org,668,6.941191552315468,8.087744103116812,7.165432341014488,False,8
102,Nicole Fernandes,819.073.462-87,26,F,isabella32@example.net,790,6.872197375441499,9.492740783540746,8.762052210059517,False,8
103,Sarah da Mota,517.394.206-16,22,M,fernandoda-luz@example.net,668,7.119323730656584,5.6919253985526606,5.525443047001807,False,8
104,Dr. Felipe Mendes,326.804.971-04,23,M,souzalucca@example.net,708,6.069522055297749,,,True,4
105,Milena Rezende,290.163.785-02,26,F,zjesus@example.org,640,8.801657290696626,6.139484162284707,8.386479511977848,False,8
106,Thales Silveira,059.341.826-33,21,F,castroluiz-felipe@example.org,676,6.440349862676309,7.04985671784763,8.886738775587055,False,8
107,Sr. Luiz Otávio Azevedo,548.730.619-20,22,F,esthersantos@example.net,722,6.135677068129688,,,True,7
108,Cauã da Rocha,549.862.037-38,22,M,vribeiro@example.com,694,9.858408566598678,,,True,4
109,Daniela Correia,984.012.367-03,19,M,vitor-hugojesus@example.net,731,9.616922692928357,,,True,4
110,Fernanda Jesus,653.192.780-12,20,M,renanda-mota@example.net,792,7.879534124152397,6.030970637272615,7.072718340087946,False,8
111,Lara Nascimento,918.607.425-30,25,F,levifernandes@example.com,684,8.617873084448162,6.923245673183005,5.349210837821019,False,8
112,Srta. Amanda Pinto,658.123.097-95,21,F,danilo42@example.com,698,5.240557979408184,,,True,5
113,Juliana Martins,302.417.589-04,24,F,agatha36@example.net,695,8.274842162983175,5.190056993061493,9.46116133287596,False,8
114,Mariana Carvalho,392.608.145-70,23,M,ida-conceicao@example.com,726,9.317803201051747,5.624459755199468,7.468507024250868,False,8
115,Larissa Novaes,428.657.193-91,24,M,bramos@example.net,754,7.642271145126083,6.385201856632483,9.066478155522404,False,8
116,Dr. Leandro Nogueira,825.790.643-38,26,M,joaobarbosa@example.com,766,5.438572339349279,6.133383617965021,9.330372469220153,False,8
117,Kevin Campos,879.126.504-58,18,F,souzajoao-miguel@example.net,788,6.326522142644431,7.03941370916147,5.954939743332228,False,8
118,Pietra Costa,062.934.158-33,20,M,garagao@example.com,743,6.552571643924311,7.748263609702392,5.277631604934907,False,8
119,Clarice Nunes,261.497.358-00,24,F,brunapires@example.com,735,7.827154175112358,9.387753164075157,6.063854539376305,False,8
120,Yago Duarte,790.614.325-61,27,M,jda-rocha@example.org,789,9.253279915592156,5.916793174873163,9.095088889647611,False,8
121,Thiago Rezende,354.892.617-73,19,M,ualves@example.net,754,,,,True,2
122,Lívia Almeida,018.746.932-69,22,M,elisacaldeira@example.net,712,7.924325769019915,,,True,6
123,Fernando Rodrigues,149.025.738-14,25,F,jesusraul@example.com,751,8.727304974949023,5.340333387974182,7.032599993293237,False,8
124,Davi Lucca Teixeira,527.103.694-43,21,F,amandafogaca@example.net,682,5.683034066321751,9.46354787981748,8.867913801461777,False,8
125,Pedro Duarte,486.910.257-94,27,M,yramos@example.net,789,,,,True,2
126,Cauê Rodrigues,162.593.840-33,18,F,ana81@example.net,664,9.734995700388126,9.830101582590517,5.757208837083317,False,8
127,Larissa Cardoso,512.094.387-04,24,M,almeidajoao-felipe@example.com,743,8.123991036848821,,,True,4
128,Guilherme Barros,569.712.843-64,22,F,maria-eduardaviana@example.org,645,,,,True,1
129,Anthony Aragão,963.725.148-00,23,F,ygomes@example.org,771,6.811150291858725,7.819474785627761,9.949066559667932,False,8
130,Helena Monteiro,376.415.082-35,18,F,da-cruznatalia@example.net,711,,,,True,2
131,Valentina Rezende,853.670.921-95,25,M,emillylima@example.com,646,9.692673811041896,,,True,4
132,Daniel Dias,359.786.402-38,25,F,xferreira@example.com,717,9.408133768013506,8.882476801759783,6.5493979784840635,False,8
133,Lorena Pereira,362.897.541-73,18,F,emanuelly17@example.org,794,7.834230728658774,,,True,4
134,Rafaela Vieira,206.871.495-76,27,F,oliveiralucca@example.net,791,8.073237458285888,8.922093959205917,5.6352458264359475,False,8
135,Catarina Ferreira,102.986.453-51,22,F,costelaalicia@example.com,793,5.517681517310277,7.831060196710321,6.353500805768834,False,8
136,Dra. Ana Carolina Nogueira,475.206.183-07,20,M,ryanda-luz@example.org,719,5.605490274360478,8.974845849798808,5.421737162861715,False,8
137,Sra. Melissa das Neves,754.120.936-80,22,F,maria-clara22@example.com,654,6.01316565182929,8.415687781489783,9.472966480232511,False,8
138,Diogo Monteiro,915.826.047-11,25,M,cdias@example.org,788,9.20238435313381,9.703747600613315,9.344347507282123,False,8
139,Sr. Cauã Viana,253.180.964-33,26,M,ribeiromelissa@example.org,680,7.321587343413562,,,True,3
140,Bianca Silveira,027.639.514-06,24,M,fogacafrancisco@example.com,750,9.16538459973565,,,True,5
141,Alana Souza,438.152.690-24,18,F,samuelda-cruz@example.org,798,5.027914044476257,8.071077640802212,6.509361936429641,False,8
142,Yago Lima,357.910.628-77,22,F,thales11@example.org,713,8.908235546021803,6.909929636685717,6.78531257907094,False,8
143,Gabriel da Luz,791.638.542-28,18,M,miguel89@example.com,714,7.426273359933506,8.192953668114829,8.241196066642491,False,8
144,Erick da Rocha,549.087.213-60,23,M,eduardanascimento@example.org,659,7.350518097157033,7.132554232036275,7.002567086233936,False,8
145,Dra. Milena Martins,894.056.731-57,22,F,jporto@example.net,769,7.324019014113652,7.464437020063012,6.997474852936596,False,8
146,Srta. Helena Pires,458.937.620-29,23,M,caraujo@example.com,662,7.87862214894405,,,True,4
147,Maitê Nunes,613.528.409-60,18,M,ribeiropedro-henrique@example.com,666,8.424006279145965,,,True,7
148,Luna Cardoso,320.619.875-59,24,F,zda-conceicao@example.net,742,5.830471561333038,,,True,3
149,Sra. Sarah Vieira,754.826.039-38,26,M,mariana12@example.com,666,5.35441055197008,5.66925208423992,6.471534968822348,False,8
150,Esther Sales,637.408.951-01,20,F,umelo@example.net,646,9.97439533778769,,,True,5
151,Pietro Lopes,318.207.946-87,22,F,azevedostella@example.org,641,9.649664861621531,6.053455351539441,7.731561733565763,False,8
152,Caio Moura,435.609.871-48,20,M,theo93@example.net,763,7.725235263983369,,,True,4
153,Raul Lima,318.740.956-39,24,F,beatrizviana@example.org,751,7.400895841435551,5.222096469349969,5.587701897618987,False,8
154,Sofia Ribeiro,304.287.561-07,25,F,marcelocosta@example.net,719,9.591818067188495,7.7377595623207975,5.922083721912497,False,8
155,Diogo Ferreira,406.527.389-74,24,M,sda-paz@example.com,718,5.647357546489461,9.32701177611685,6.332958244546154,False,8
156,Diego Araújo,109.427.583-23,22,M,fsales@example.org,652,7.012307345906438,6.528647746783703,5.211076761699531,False,8
157,Isabella da Mota,341.065.982-05,24,M,bernardo57@example.org,655,6.343968371849352,7.601453628964062,8.875704988355139,False,8
158,Enzo Gabriel Castro,469.357.180-66,18,F,uda-conceicao@example.org,750,9.998099929772152,6.518366051155015,7.292869777783567,False,8
159,Ana Carolina Rezende,975.428.601-94,27,M,joao-guilherme49@example.org,739,,,,True,1
160,Dra. Bianca Gonçalves,789.215.603-86,20,M,yaragao@example.org,652,9.198783944894386,9.63573829741864,5.344884259408201,False,8
161,Igor Nogueira,175.890.463-10,19,M,davi-luizcastro@example.net,745,7.358481272608352,,,True,6
162,Ryan Freitas,396.082.417-31,23,F,maria-cecilia64@example.net,703,,,,True,1
163,Sr. Arthur Porto,718.065.439-66,26,M,pedro69@example.org,648,9.470868528555478,7.523863183406636,8.450606504813127,False,8
164,Esther Fogaça,704.512.986-67,25,F,carolineda-costa@example.org,651,8.164366019067854,8.948656683122387,5.237308358696022,False,8
165,Benjamin Fogaça,016.285.437-44,27,M,fernandesnoah@example.com,772,9.9408207646217,7.225378329725501,6.9773656418080705,False,8
166,Stephany Pereira,860.475.219-67,26,F,fernanda52@example.org,771,8.512911451831073,5.319070395776216,9.598736046733436,False,8
167,Eduarda Azevedo,593.467.102-25,27,F,portoeduardo@example.net,765,8.929942016698078,,,True,3
168,Maria Castro,145.207.836-07,23,F,kviana@example.org,695,9.085090337338908,,,True,4
169,Caio Monteiro,357.168.029-40,19,F,milena06@example.org,674,6.972157252965827,7.809278755819111,7.666009531859325,False,8
170,Dr. Otávio da Luz,672.940.813-87,18,F,raquel16@example.com,759,6.728804528108002,,,True,5
171,Luigi Almeida,738.591.602-30,19,F,mouracaue@example.net,792,,,,True,1
172,Lucas Gabriel Caldeira,324.178.596-37,21,M,salves@example.com,689,7.449706606857143,,,True,7
173,Pietro Vieira,426.917.380-78,27,F,aliciacorreia@example.net,682,6.462612991503186,,,True,4
174,Valentina Porto,960.184.352-33,19,F,melissa44@example.net,792,8.328274724849567,8.625646730335735,6.277096248152857,False,8
175,Gustavo Cavalcanti,760.589.432-56,20,F,murilo77@example.com,714,,,,True,2
176,Eduardo da Cunha,417.529.680-85,18,F,levi15@example.org,650,6.7877180956796535,5.23918827341313,8.909955967461494,False,8
177,André Teixeira,783.421.960-03,23,F,xfogaca@example.com,754,5.594607366478431,9.156826331703794,5.733694765755104,False,8
178,Dr. Luiz Gustavo da Rosa,450.617.893-93,18,M,heitorcardoso@example.com,641,9.495499692021587,7.8278953028107185,6.0569623092291405,False,8
179,Gustavo Henrique Mendes,703.425.196-70,22,F,lucas95@example.net,685,,,,True,2
180,André Costa,580.479.613-57,23,M,isissales@example.org,775,5.76391145865841,,,True,5
181,Alícia Pereira,421.589.607-01,27,M,maria-eduarda18@example.org,710,8.370756787983595,9.529712788674544,8.564831688544434,False,8
182,Srta. Maria Alice Peixoto,650.728.491-20,27,M,isaacgoncalves@example.com,692,5.609287660551152,,,True,5
183,Julia Barbosa,076.284.935-56,19,M,thomascavalcanti@example.org,737,7.415964094063044,6.362851226128035,8.695739136368223,False,8
184,Isaac Costa,265.438.170-62,24,F,manuela00@example.net,655,,,,True,2
185,Sra. Isabella Caldeira,465.281.930-70,20,F,nina18@example.org,667,8.385849637061826,7.059761411049882,7.039257678144495,False,8
186,Brenda da Paz,492.168.075-20,27,F,cardosojoao@example.net,667,8.995556078704503,6.686701216313504,8.509102428669596,False,8
187,Daniela Moura,023.985.471-32,26,M,bsilveira@example.org,727,8.705454010301043,9.8027942673968,5.36914000427447,False,8
188,Davi Lucas Melo,963.842.705-10,19,F,zcastro@example.org,729,6.810653075275718,,,True,5
189,Gabrielly Almeida,910.568.734-93,21,F,almeidaolivia@example.org,739,6.983365529730766,7.623518700543428,6.280585687543102,False,8
190,Heitor Barros,857.642.301-44,20,F,davi00@example.net,681,,,,True,1
191,Diogo da Luz,719.348.056-10,27,M,franciscofogaca@example.net,750,7.712197682356464,8.663804598003152,7.647243364690921,False,8
192,Luiz Otávio Martins,021.375.984-50,18,M,psantos@example.org,746,8.390061855555919,,,True,5
193,Nathan Nunes,978.316.540-20,27,F,elopes@example.com,744,8.361464739242198,,,True,3
194,Isis Lopes,830.249.167-50,19,M,davi-luiz92@example.org,722,8.931253430206874,,,True,5
195,Enrico Martins,645.320.817-26,26,M,wpereira@example.com,707,7.226343772001,,,True,7
196,Bárbara Porto,023.615.897-02,18,F,ynogueira@example.net,681,6.758622432148666,9.904534644295094,5.221238543530883,False,8
197,Dra. Daniela Caldeira,098.345.126-51,18,F,nda-rocha@example.org,662,9.621349301418991,,,True,5
198,Dra. Eloah Alves,538.907.164-66,19,M,laura50@example.com,717,8.328320739149195,,,True,5
199,João Gabriel Fogaça,894.723.615-28,18,F,ana-clara49@example.com,752,9.839573529876922,9.850198029966672,9.423627082536598,False,8
200,Luigi Campos,725.486.901-30,27,M,caldeiraana-beatriz@example.com,768,8.397947803783508,6.470174975630918,5.090015662000009,False,8
201,Leandro Cunha,932.056.781-68,18,F,da-mataana-sophia@example.org,793,,,,True,2
202,Valentina Nunes,076.293.485-92,24,F,dcardoso@example.org,721,5.200341337186084,5.1463979660182675,7.803405471626183,False,8
203,João Pedro Barbosa,437.258.601-90,18,M,rduarte@example.net,798,7.294772038544751,,,True,5
204,Heitor das Neves,795.021.863-03,25,F,mendesenzo-gabriel@example.com,715,6.02995489970001,5.684753631858559,5.1048180442147135,False,8
205,Vitor Hugo da Costa,741.856.320-53,25,F,ramosemanuelly@example.org,759,6.569210405307057,8.673715192352034,5.322549136432389,False,8
206,Sra. Luana Gonçalves,016.438.597-57,23,M,pviana@example.net,710,,,,True,1
207,Helena da Cruz,136.579.280-30,23,M,hjesus@example.net,783,9.074129679398826,,,True,6
208,Lívia Rezende,638.947.501-20,23,F,joao-miguelda-mota@example.org,724,,,,True,1
209,Isis da Rosa,198.763.425-09,20,M,maria-fernandamoura@example.org,670,,,,True,1
210,Diego Rodrigues,530.894.716-39,23,M,lorena83@example.net,758,6.556416535029522,5.1902717825725615,5.962345635772953,False,8
211,Isaac Castro,867.092.134-04,24,M,qda-mata@example.org,738,9.682392574126915,6.088579490219267,5.5127748407850365,False,8
212,Julia Cardoso,842.659.071-30,24,F,lais55@example.net,729,8.055471052539641,5.256952474899653,8.399320706759996,False,8
213,Sra. Júlia da Conceição,639.410.875-84,26,F,luccada-cruz@example.com,691,7.209594155185421,,,True,6
214,Emanuelly Pereira,701.659.482-30,20,M,cavalcantiolivia@example.net,686,9.667378557451954,7.775729718840427,5.904352465761083,False,8
215,Fernanda Fogaça,215.349.607-16,21,M,nnovaes@example.org,709,7.348394571294596,9.842991077230078,9.092909540204777,False,8
216,João Pedro Aragão,250.378.469-00,22,M,martinsgiovanna@example.com,662,,,,True,2
217,Lorena Ramos,692.108.473-69,19,M,davi-luiz77@example.com,764,8.812288921381631,7.9848852251375755,9.687578244039573,False,8
218,Nina da Mota,107.423.965-25,21,M,aaraujo@example.com,710,7.157198210315524,8.586749334712128,8.49783673528885,False,8
219,Maria Fernanda Barros,189.623.475-55,24,M,davi-luiz34@example.com,697,7.104714441139345,6.5773035386540375,5.888969148570981,False,8
220,Heloísa da Cunha,328.904.675-38,27,F,xpereira@example.org,754,5.726711035792746,8.906361348475826,8.996928291966821,False,8
221,Sr. Rodrigo Caldeira,687.130.954-39,20,M,fariasmaria-clara@example.org,736,7.118543080105809,5.686400972923616,9.994206759496846,False,8
222,Emilly Rodrigues,714.920.368-03,27,F,qcaldeira@example.org,653,6.969985576273601,6.930405059524509,7.808157143407136,False,8
223,Pedro Miguel Fernandes,183.709.642-22,24,F,samuelfarias@example.net,783,5.221327513902036,8.278739781733053,5.677474560763173,False,8
224,João Vitor Dias,358.190.624-42,21,M,sophiacardoso@example.org,642,9.404149518660319,,,True,3
225,Pedro Miguel Mendes,293.756.801-77,20,M,qfogaca@example.net,744,6.975927543267789,,,True,4
226,Sr. Danilo Santos,297.415.083-79,26,M,hribeiro@example.org,665,6.489364931140784,,,True,5
227,André Cavalcanti,217.385.096-21,25,M,fgoncalves@example.org,662,6.265919254205512,,,True,5
228,Sophie Silveira,658.702.413-08,19,F,emanuellyferreira@example.org,646,7.770054069929424,9.610144388005113,6.919774256462634,False,8
229,Isabel Peixoto,956.342.801-33,18,M,da-rosamaria-fernanda@example.com,663,6.6112237970638486,,,True,5
230,Dra. Maria Vitória Oliveira,462.891.053-70,22,M,vitor40@example.com,683,5.584954820253044,8.165892612449216,9.640115205293867,False,8
231,Murilo Barbosa,603.982.417-40,23,F,mariamoura@example.com,798,9.439469706198814,7.163896109720101,9.36585322207772,False,8
232,Luana Fogaça,325.749.860-83,18,F,orodrigues@example.org,656,9.16195971563916,5.60215087111927,7.029732575767559,False,8
233,Carlos Eduardo Azevedo,865.143.209-70,21,M,laissilveira@example.com,724,8.838568909718973,,,True,4
234,Emanuel da Luz,908.741.523-05,18,M,joaquim27@example.net,798,9.448186972998224,5.327772357153007,7.069188010086217,False,8
235,Srta. Larissa Cavalcanti,614.235.987-09,25,F,sophia30@example.net,713,8.183981127338987,9.941229452794772,9.935089180639078,False,8
236,Daniela Azevedo,470.839.216-87,19,F,pedro76@example.org,670,7.411300862829446,8.791088537497144,8.621001417245251,False,8
237,Julia Sales,594.760.381-01,27,M,rda-cunha@example.com,771,8.875513426537365,,,True,6
