,Nome,Sexo,CPF,Idade,Email,Nota Enem,CRAs_2semestre,CRAs_4semestre,CRAs_6semestre
27,Cecília Pinto,Feminino,637.915.820-03,18,uda-paz@example.net,675,8.554018322390398,5.637661700099538,9.885706652515307
28,Dr. João Campos,Masculino,635.174.892-55,23,danilocaldeira@example.net,766,6.214370219273601,7.6573240272788805,5.9742927150266985
29,Heitor Ramos,Masculino,362.197.085-12,27,fariasdiogo@example.org,640,6.36643843289753,7.352995324241913,7.303936835693141
30,Heitor Cardoso,Masculino,734.865.910-10,22,teixeiracecilia@example.org,764,5.760850343524275,7.722719366011227,7.412117075215393
31,Lorena Caldeira,Feminino,436.809.527-83,24,bryanoliveira@example.com,764,7.0626285751071185,,
32,Bárbara Azevedo,Feminino,980.372.651-02,19,rnunes@example.net,787,8.708750657059888,9.686149519238187,6.8460908637912254
33,Miguel Cardoso,Masculino,853.701.462-17,22,peixotoenzo@example.org,762,6.660219563682933,,
34,Luiza da Cunha,Feminino,109.385.264-05,25,olivia97@example.org,729,9.095401773785841,,
35,Danilo Cunha,Masculino,964.370.821-78,26,lorenasales@example.com,731,8.277778111867391,,
36,Pietra Cunha,Feminino,615.097.438-39,28,alvesemanuella@example.org,713,7.944501314531246,8.148186940714329,6.96531298083956
37,Isabelly Moraes,Feminino,698.701.352-77,23,prodrigues@example.com,765,5.2941902374331224,,
38,Luiz Fernando Porto,Masculino,126.890.743-03,20,ocarvalho@example.com,670,,,
39,João Vitor Ribeiro,Masculino,405.173.986-48,22,eda-costa@example.net,695,8.487844500489667,5.573088878171347,9.127579589496708
40,Mariane Silveira,Feminino,210.763.485-80,24,vitor-hugo50@example.com,741,5.857728820731577,5.944134679723272,7.533204710446535
41,Ana Vitória Campos,Feminino,032.176.594-06,23,enzo-gabrielmoraes@example.com,761,9.486520179575798,5.395686507532785,8.84013564100712
42,Maria Vitória Mendes,Feminino,591.734.806-57,27,pcavalcanti@example.com,779,8.681080171639927,,
43,Vitor Ribeiro,Masculino,364.708.295-38,27,benjamin33@example.net,695,6.704944026563599,6.650845666935393,8.721051706719177
44,Enrico Barbosa,Masculino,930.516.247-99,18,davirezende@example.com,698,7.622582448298784,,
45,Ana Beatriz Castro,Feminino,298.340.615-60,26,nascimentoesther@example.net,646,6.428732281899155,,
46,Sophie Duarte,Feminino,150.279.368-77,23,vieiracaroline@example.com,728,9.017339084003506,5.970590313048824,5.9547090639561056
47,Cecília da Cunha,Feminino,749.358.620-92,26,nda-cruz@example.net,696,5.022167396442361,5.854827335492752,9.20634898485331
48,Sr. Raul Lopes,Masculino,628.417.593-00,21,pda-cunha@example.org,682,9.654936536822483,5.827867992828613,6.029658152522435
49,Dra. Gabriela Nogueira,Feminino,084.379.621-96,26,da-rochaluigi@example.com,787,9.762772385385311,7.479236205269927,5.116176504103038
50,Maitê Lopes,Feminino,358.240.791-88,26,qfreitas@example.com,707,,,
51,Dra. Júlia Oliveira,Feminino,604.235.197-43,18,azevedomanuela@example.net,773,6.331078753828702,6.183747028053636,9.42060291914812
52,Sra. Caroline Novaes,Feminino,780.612.493-40,23,azevedojoao-lucas@example.org,677,6.141616297289669,,
53,Luiz Henrique Oliveira,Masculino,570.694.123-80,19,qrodrigues@example.com,714,5.095603535471208,5.815939282379847,9.753241381048584
54,Emanuelly da Luz,Feminino,347.690.512-80,25,stella74@example.com,681,8.1607818857036,,
55,Dr. Diego Azevedo,Masculino,819.760.243-31,23,ramosenzo-gabriel@example.org,675,6.46952098769456,7.237081232610631,6.760662226859283
56,Leandro Pires,Masculino,893.214.067-78,21,lucasteixeira@example.org,691,7.58940839873389,,
57,João Guilherme Barros,Masculino,568.423.701-08,25,cardosogabriel@example.org,703,7.983623567183452,6.235251604151625,9.089316154358974
58,Raquel Castro,Feminino,285.674.309-92,18,sophiarezende@example.net,663,,,
59,Vitor Hugo Correia,Masculino,073.154.268-17,21,marcos-vinicius07@example.net,780,9.355932275224134,8.687233843139893,7.71740449622313
60,Dr. Pietro Silveira,Masculino,167.034.928-40,22,xfreitas@example.org,738,5.104761554739466,6.154461258396546,7.285320125735133
61,Daniel Rodrigues,Masculino,198.467.025-58,27,nunesmariana@example.net,781,7.68253101446771,,
62,Dra. Ana Julia Moura,Feminino,431.508.792-05,21,laura80@example.org,660,9.733628626955696,,
63,Miguel Santos,Masculino,026.138.759-68,24,miguel41@example.org,650,6.734255158529489,,
64,Emanuella Vieira,Feminino,940.527.613-16,20,renanpires@example.org,708,7.696502178277154,7.653045689675601,8.99541755998554
65,Dra. Stephany Teixeira,Feminino,704.162.358-08,25,luiz-otavio05@example.com,777,9.233816475891546,,
66,Cauê Campos,Masculino,216.374.809-03,28,clarice41@example.net,641,5.35698582349215,,
67,Dr. Renan Mendes,Masculino,642.137.085-35,26,salesluiz-henrique@example.net,747,6.9491557829776776,,
68,Maria Alice Santos,Feminino,673.152.490-52,27,leandro46@example.net,649,5.912897932055864,,
69,Srta. Maria Fernanda Pires,Feminino,846.175.092-67,19,joao-felipegomes@example.org,669,7.731595208056457,5.140851889000329,9.133676860752654
70,Emilly Pires,Feminino,863.592.140-24,23,xcunha@example.net,771,8.99136688508328,9.157561692722027,6.944384249697621
71,Francisco Gomes,Masculino,028.543.796-83,25,dcardoso@example.org,717,5.17688717633184,,
72,Heloísa Caldeira,Feminino,209.185.346-15,18,brenda03@example.net,660,6.531154733234361,8.555342612368547,7.3473310917963035
73,Pedro Henrique Ramos,Masculino,518.264.730-17,19,ferreiralaura@example.org,758,6.750463209737496,,
74,Letícia da Mata,Feminino,179.684.523-09,19,eduardo81@example.com,727,5.961183593020757,5.682961533083351,5.959846496790602
75,Carlos Eduardo Farias,Masculino,145.278.960-67,26,moraeslaura@example.net,755,9.828292813164428,6.9501170812811495,5.260879341923437
76,Srta. Sarah Ramos,Feminino,815.640.297-94,28,pietro86@example.org,660,6.133267901962676,,
77,Pedro Miguel Moraes,Masculino,973.084.215-97,23,goncalvesana-luiza@example.org,708,8.983409427910143,5.184572942001429,5.421697812261151
78,Juan da Cruz,Masculino,563.178.402-53,21,valentina69@example.org,715,9.980259247764746,,
79,Dra. Mirella Dias,Feminino,360.142.985-33,25,gabrielamartins@example.org,667,,,
80,Luiza Teixeira,Feminino,475.360.289-38,24,marceloda-conceicao@example.net,678,9.586424243599104,8.087575482608225,9.273673996864929
81,Rafaela Monteiro,Feminino,687.102.539-12,27,ifreitas@example.com,722,7.619238290213422,,
82,Joaquim Moura,Masculino,452.710.398-97,27,eda-luz@example.com,705,7.745636724991324,,
83,Srta. Maria Fernanda Carvalho,Feminino,608.594.213-33,26,cardososophia@example.org,763,,,
84,Clarice Santos,Feminino,576.084.923-92,18,leonardopinto@example.net,794,8.284288059057651,7.663331158624581,9.925091218313792
85,Sr. Vitor Gabriel Dias,Masculino,927.045.186-02,19,almeidadaniel@example.com,744,7.37662739783088,7.842902784227421,8.993892587227535
86,Noah Gomes,Masculino,842.136.075-26,28,antonio29@example.net,670,8.01488468148721,9.889707386761863,9.02569998235658
87,Sr. Augusto Cunha,Masculino,839.401.672-31,19,nrocha@example.com,786,9.237120966207392,,
88,Pedro Peixoto,Masculino,402.985.367-65,21,castrogabriela@example.net,655,5.619970790542642,7.22343035831944,7.528919426526227
89,Rebeca Nogueira,Feminino,219.735.864-28,20,luiz-otaviosales@example.com,644,6.394477804351151,,
90,Isaac Cavalcanti,Masculino,158.437.609-01,26,emanuella73@example.org,780,6.774075321663329,8.288465035062506,9.043178070124613
91,João Pedro Carvalho,Masculino,705.269.348-83,25,luiz-otaviopires@example.net,714,9.37423648516878,,
92,Pedro da Paz,Masculino,490.265.817-85,21,ribeiroclarice@example.org,725,,,
93,Bianca Novaes,Feminino,851.270.364-44,28,pedro40@example.net,685,9.21065570525823,5.1896259435509435,6.177488861154737
94,Srta. Esther Farias,Feminino,027.638.941-78,21,nicoleda-luz@example.com,763,7.741624994122477,8.705875080247,8.30315444395684
95,João Felipe Pires,Masculino,124.093.568-42,25,elisa54@example.net,640,7.487662214941691,9.621167756389596,7.270146540422008
96,Sra. Elisa Cavalcanti,Feminino,743.508.921-41,20,gda-rosa@example.org,798,,,
97,Cauã da Mata,Masculino,691.780.543-20,24,freitaseduarda@example.org,687,5.204606522975286,9.363766869226263,6.531242402074186
98,Raquel da Mata,Feminino,634.872.190-69,19,isaac39@example.com,763,9.71750718760629,,
99,Sra. Mariane Moreira,Feminino,142.387.960-04,27,sferreira@example.org,713,9.057845690182097,6.096749161003327,6.940655511019124
100,Sra. Amanda Lima,Feminino,102.487.396-03,20,helena70@example.org,663,8.886103282402,8.631539443378776,9.996944279896132
101,Isadora Barbosa,Feminino,632.504.197-61,27,uda-costa@example.com,707,7.634090208963482,,
102,Milena das Neves,Feminino,976.825.140-94,27,isisvieira@example.net,686,,,
103,Maria Sophia da Mota,Feminino,152.784.093-04,21,mvieira@example.com,771,8.987818053358424,,
104,Ana Beatriz da Cunha,Feminino,063.289.415-60,27,samuel02@example.net,720,6.277874477876766,7.132897053803252,8.541140878225988
105,Luiz Felipe Campos,Masculino,416.278.530-90,24,ana-carolinabarbosa@example.org,732,5.699731268950811,7.840537788705596,9.583776243469167
106,Lavínia Farias,Feminino,065.947.283-00,22,caldeiraalexia@example.net,661,,,
107,Heitor Fogaça,Masculino,289.760.314-31,26,pintomaria-eduarda@example.org,792,6.388979625788986,6.101475573602926,6.3760953966532306
108,Isadora Campos,Feminino,754.182.960-94,24,noah21@example.net,757,5.537525584221001,,
109,Maria Cecília Dias,Feminino,263.509.147-16,23,da-rochagabriel@example.org,797,9.39372979150886,8.139297419543322,6.183129185334831
110,Dr. João Gabriel Pinto,Masculino,642.985.130-33,22,anthonycardoso@example.org,674,6.245564978612087,5.57972625804118,5.4794457132940035
111,Renan Rezende,Masculino,739.486.501-01,24,juliaaraujo@example.com,705,7.851377766663017,8.224646145201518,8.430940212091922
112,Davi Lucca Araújo,Masculino,935.702.681-95,18,ana-julia87@example.com,760,6.743142839556922,,
113,João Lucas Dias,Masculino,895.362.417-73,19,lucas-gabriel86@example.org,681,8.307423538070957,,
114,Carlos Eduardo Fernandes,Masculino,462.981.730-13,27,aliciaribeiro@example.com,646,9.49401045022216,5.467239005935107,8.563560673316633
115,Mariana Fogaça,Feminino,817.952.306-30,22,tdias@example.com,755,9.17964477830786,6.855799051114983,8.646798130812233
116,Arthur Monteiro,Masculino,670.213.945-43,22,rezendemaria-alice@example.com,676,5.873228637881868,6.665532914470891,9.291001287137778
117,Laura Alves,Feminino,461.095.378-10,25,amonteiro@example.org,787,9.558117069980437,5.543377314333681,5.171611815162923
118,Antônio Silva,Masculino,651.278.930-02,21,hsouza@example.org,678,9.52918869668974,,
119,Pietra Monteiro,Feminino,062.734.918-87,20,xmartins@example.org,693,8.102773711144108,,
120,João Gabriel Pires,Masculino,465.217.890-58,18,joao-miguel44@example.net,654,5.475495752539446,,
121,Thomas da Cruz,Masculino,796.145.230-34,26,vpereira@example.net,799,9.509160737331076,9.055311537315582,9.013241134666536
122,Carolina Fogaça,Feminino,083.975.624-00,26,noah80@example.com,642,6.547219059187766,,
123,Anthony da Cruz,Masculino,821.643.075-26,18,jesusjuan@example.net,640,9.379660449600077,7.373200605726851,6.673665603695806
124,Stella Ferreira,Feminino,365.478.901-39,25,aragaoluigi@example.com,759,5.66507443304858,9.308797577804244,5.418865190922001
125,Luiz Miguel Gomes,Masculino,182.304.596-06,26,pietra96@example.org,696,6.709400475205111,7.346230994585583,7.14855190203951
126,Sra. Emilly Costa,Feminino,489.261.703-22,26,freitaspedro-miguel@example.net,777,6.781233160425259,5.266032132168486,6.796822716603419
127,Catarina Novaes,Feminino,028.746.935-29,25,maria-vitoriarezende@example.net,772,7.531452341345097,,
128,Bruno Barbosa,Masculino,729.410.836-69,18,nnunes@example.com,720,9.072805592302476,7.506817916070946,5.614006886987028
129,Gabrielly da Cruz,Feminino,917.026.438-40,28,luiz-gustavoda-mota@example.net,715,,,
130,Luiz Otávio Porto,Masculino,379.048.512-88,18,agomes@example.com,767,5.729466495368852,8.10736442601398,7.610484479845189
131,Ana Luiza Gomes,Feminino,814.069.735-48,25,lauraferreira@example.net,642,5.782787191089196,9.68220543070281,6.221136831754135
132,Giovanna Ferreira,Feminino,785.140.639-01,26,martinsjulia@example.com,720,7.6938514288714925,6.410203850445403,6.506052812563509
133,Yago Barbosa,Masculino,904.851.273-50,23,nda-cunha@example.org,681,5.581508184252943,5.368141410167569,5.631920963233517
134,Nina Novaes,Feminino,614.923.578-55,22,alvesantonio@example.org,653,7.999996699240395,8.458812510275644,8.525632108423434
135,Luna Rodrigues,Feminino,826.075.394-47,24,pietrajesus@example.com,778,5.722775603942,,
136,Otávio Alves,Masculino,972.608.145-94,18,piresaugusto@example.com,788,7.844275748261156,,
137,Enzo Gabriel Moura,Masculino,015.349.627-43,21,jesusnicolas@example.net,725,,,
138,Raul Peixoto,Masculino,916.372.458-82,20,vitor-hugoda-paz@example.net,732,5.912611508450293,,
139,Daniel da Mata,Masculino,834.719.560-93,21,isaacda-cruz@example.org,739,8.639742439588582,5.007059951994321,7.02822700390646
140,Luiz Felipe Gomes,Masculino,653.741.982-46,19,hcosta@example.com,752,8.696585665281198,6.9769248814518985,6.911549324446887
141,Pietro Peixoto,Masculino,362.789.504-56,26,lcampos@example.net,770,,,
142,Evelyn da Cunha,Feminino,860.391.254-89,21,wcunha@example.com,792,5.000344205578825,7.206590521310533,9.7781849203818
143,Alana Vieira,Feminino,043.978.261-96,20,gustavo-henrique23@example.org,732,9.045397933299741,7.668782995647067,5.714616266344143
144,Emilly Nunes,Feminino,931.076.258-68,25,ysantos@example.com,678,7.644643855797532,5.930076988445865,7.439356067409968
145,Evelyn Lopes,Feminino,956.487.013-57,20,fernando84@example.net,671,8.563812147070744,6.577165993613014,5.57328376591586
146,Isaac Costa,Masculino,273.546.981-64,19,hbarbosa@example.org,647,6.182365504176591,7.10816487118028,8.971314779340108
147,Gustavo Ferreira,Masculino,561.902.738-40,18,ocostela@example.net,690,9.479659868225287,8.912005311406988,8.353294406391633
148,Agatha Mendes,Feminino,369.810.257-95,27,vitor-gabriel59@example.com,780,7.765185602661457,5.075540473175978,9.395938566214658
149,Esther Gonçalves,Feminino,891.320.567-02,26,ana-sophia09@example.com,701,,,
150,Marcelo Monteiro,Masculino,412.759.806-94,24,ana-luiza47@example.net,696,6.143088263807189,6.625726179544419,6.693811472252339
151,Gabrielly Almeida,Feminino,306.471.592-52,24,isabellaaragao@example.com,733,7.743071654549539,8.50888997877934,8.771540611143568
152,Maria Clara Novaes,Feminino,239.850.147-79,26,ana-beatrizfreitas@example.com,740,9.701599593347751,5.401558075596028,8.8339491982116
153,Heloísa da Luz,Feminino,179.625.348-00,24,ucastro@example.com,782,,,
154,Vitor Gabriel Barros,Masculino,034.678.521-90,19,marcos-viniciussilveira@example.net,730,8.944726646788306,,
155,Sra. Clarice da Luz,Feminino,087.195.364-10,25,da-cunhabreno@example.org,767,8.435853280299375,7.751216715481817,8.528510460641705
156,Alice Oliveira,Feminino,925.308.674-29,27,ana-juliarocha@example.org,645,6.563397385913595,,
157,Lavínia Porto,Feminino,328.057.146-44,23,xferreira@example.com,711,7.244831392945977,6.792681057226671,9.246757470072781
158,Felipe Pinto,Masculino,481.206.973-40,22,da-luzclara@example.org,663,5.16197663388113,7.445084876462046,5.940140538852063
159,Stella Pereira,Feminino,475.269.318-64,23,evelyn82@example.net,782,6.916446166873508,,
160,Caio Pinto,Masculino,176.298.503-95,21,zrocha@example.org,761,7.802205498400472,5.608984958628423,8.548803018865868
161,Murilo da Rocha,Masculino,637.291.085-30,25,da-rochanoah@example.org,794,8.925200854264755,,
162,João Novaes,Masculino,719.856.234-55,21,caldeirajuan@example.org,660,5.445208780836154,,
163,Paulo Moreira,Masculino,274.691.038-13,24,joao-pedro72@example.org,647,,,
164,Samuel Sales,Masculino,193.075.462-07,24,brenda16@example.org,759,5.36855687203767,5.154888972225822,9.176568566528857
165,Melissa Jesus,Feminino,729.018.546-30,22,oda-rocha@example.com,788,9.786085506426623,,
166,Raquel Souza,Feminino,759.823.614-37,27,isabellaribeiro@example.org,647,8.133895453235079,8.80782394048156,9.887015009828975
167,Maria Cecília da Luz,Feminino,093.152.846-15,18,clariceoliveira@example.org,710,5.274487457612623,,
168,Sr. Raul Jesus,Masculino,837.915.642-00,20,juliananogueira@example.org,644,,,
169,Davi Costela,Masculino,502.143.879-41,23,vitor-hugo69@example.com,645,6.163050181955514,8.30067039487166,7.448385598387333
170,Otávio Peixoto,Masculino,901.785.362-02,26,maria-sophia71@example.org,724,7.3951504630952325,8.14031526713078,9.818957940299526
171,Cecília Cardoso,Feminino,845.367.012-90,21,stellafarias@example.net,681,5.867487948549604,9.620030082422375,6.929310542685837
172,Francisco Araújo,Masculino,426.781.053-26,20,vitor74@example.net,730,,,
173,Luiz Miguel Cardoso,Masculino,407.596.328-47,23,zfreitas@example.net,714,8.492143753726886,,
174,Benício Fernandes,Masculino,857.391.640-01,21,novaespedro@example.net,738,8.993811223994438,8.735909853059995,5.320772445214976
175,Sr. Antônio Azevedo,Masculino,736.548.012-26,20,luiz-gustavopinto@example.net,667,5.40464940635979,,
176,Luiz Fernando Teixeira,Masculino,945.826.137-64,21,rebeca68@example.org,672,9.860430507258423,5.641031444564276,7.860991679708743
177,Vitor Gabriel da Conceição,Masculino,967.532.084-29,28,fernandesdavi-luiz@example.net,720,7.8963640691741555,7.00950085740549,8.994280292285827
178,Raul Rezende,Masculino,758.390.416-10,22,luna79@example.net,775,5.512027545586545,,
179,Fernando Fernandes,Masculino,492.076.531-25,28,ida-luz@example.com,652,,,
180,Francisco Lopes,Masculino,481.639.570-93,22,miguel53@example.org,648,7.344502650417418,5.164571158892686,5.6381542931210085
181,Lucas da Rosa,Masculino,160.937.428-22,18,smendes@example.com,768,6.861162166010931,,
182,Natália Vieira,Feminino,609.823.471-03,24,nascimentolarissa@example.net,720,5.089244294144817,5.5007788015471055,8.382448116783682
183,Cecília Castro,Feminino,832.597.146-00,28,luiza48@example.org,759,9.263031417788604,,
184,Raquel Souza,Feminino,625.813.047-07,23,rcosta@example.org,762,6.367554159219415,8.45391623501907,9.120596019391577
185,Olivia Duarte,Feminino,435.281.706-62,18,luiz-gustavo58@example.com,783,5.297285803803694,8.884252201004095,5.845767823064622
186,Renan Pereira,Masculino,827.690.543-92,19,vinicius84@example.com,723,9.975017083712308,,
187,Valentina Costela,Feminino,142.876.593-09,18,fvieira@example.org,650,,,
188,Arthur Pinto,Masculino,906.574.831-84,23,fariascecilia@example.net,644,5.459691125195036,,
189,Bernardo Santos,Masculino,210.975.436-25,26,moraesmaria-clara@example.org,743,,,
190,Daniel Cunha,Masculino,437.562.089-74,28,diogorodrigues@example.net,686,9.40165559282697,9.369828618805975,8.904968134172293
191,Luana da Paz,Feminino,176.409.235-06,25,levi81@example.org,667,7.929506438347876,,
192,Alana Cunha,Feminino,136.094.758-20,26,marianafreitas@example.net,665,6.152163138353966,7.193100905634514,5.532738681740156
193,Dra. Julia Alves,Feminino,361.790.824-13,24,cardosofrancisco@example.org,748,5.932010774290078,9.728766607861168,5.8150700479214095
194,Amanda da Rocha,Feminino,490.271.836-78,22,diogoda-mota@example.org,797,,,
195,Sabrina Sales,Feminino,859.237.640-83,28,cnunes@example.org,703,6.185034813922043,,
196,Thales Viana,Masculino,158.762.390-03,19,joao-pedrorodrigues@example.net,773,5.5720696595431,,
197,Yago Alves,Masculino,813.569.720-12,21,levi55@example.net,646,9.525351291673491,8.925484501188953,5.1620520373089365
198,Joana Caldeira,Feminino,420.635.871-08,21,zcavalcanti@example.com,793,,,
199,Bruna Cardoso,Feminino,139.560.824-51,23,laisnogueira@example.org,661,6.939326994071251,9.827535184059474,7.428032613316176
200,Rafaela Peixoto,Feminino,784.926.530-00,21,joao-felipelima@example.org,719,8.26093231230822,,
201,Joaquim Gomes,Masculino,817.294.056-49,20,bcosta@example.com,791,5.107022707207446,,
202,Bruna Barros,Feminino,451.763.982-73,27,danielcaldeira@example.com,750,9.261747789160346,,
203,Diogo Cavalcanti,Masculino,831.706.592-86,18,lramos@example.net,791,6.896581635643525,8.714515175057677,7.949663983656846
204,Dr. Murilo Lopes,Masculino,397.658.042-29,27,zcunha@example.net,675,5.169572361351604,,
205,Emanuel Caldeira,Masculino,869.031.547-01,28,pcostela@example.org,772,5.950666182561784,,
206,Sra. Júlia Dias,Feminino,608.597.243-10,22,mporto@example.net,782,8.07325104995324,,
207,Gustavo Rodrigues,Masculino,139.287.506-40,28,amanda76@example.org,702,6.8692130537564955,,
208,Clara da Rosa,Feminino,934.605.281-33,27,luiz-otavionunes@example.com,737,8.514510383529654,,
209,Srta. Sophie das Neves,Feminino,083.569.712-68,24,vieiralaura@example.com,685,7.784555817095949,,
210,Helena Moreira,Feminino,271.486.395-73,24,isadorabarros@example.com,645,8.853991699494898,,
211,Sra. Maria Vitória Melo,Feminino,904.578.163-84,28,gabrielly37@example.net,773,9.935663293627428,8.728144808002925,9.718994369059985
212,Arthur Lopes,Masculino,514.928.736-91,22,caue46@example.org,769,,,
213,Sr. Vitor Nogueira,Masculino,963.720.518-77,19,yasmin24@example.org,768,9.235880550051048,,
214,Mariana Lima,Feminino,642.873.059-65,23,psales@example.org,741,9.18204867254222,,
215,Rebeca Moura,Feminino,864.327.159-46,19,brunanovaes@example.org,773,9.918954431364515,9.014145716192736,8.114757314656647
216,Clarice das Neves,Feminino,087.954.231-41,19,araujosabrina@example.net,701,7.941860939001854,7.654392756598222,5.7832915141431425
217,Bruno da Mota,Masculino,918.527.406-20,28,fernandocorreia@example.org,674,6.717638196072445,5.071624566185259,5.882286239634858
218,Daniel Nunes,Masculino,509.687.312-95,26,isabelly97@example.com,715,8.084252436731234,6.978290213237437,6.840709696077564
219,Sr. Davi Lucca Nunes,Masculino,548.796.302-92,22,varaujo@example.org,721,5.966511043318702,,
220,Caroline Ramos,Feminino,403.516.789-48,19,jesusemanuel@example.org,721,8.924345442453447,8.260769187018248,5.1619553806610945
221,Bárbara da Conceição,Feminino,895.274.013-05,23,cjesus@example.org,757,7.67249486469756,,
222,Luna Sales,Feminino,934.860.721-96,21,silveiralevi@example.org,779,9.483713219486507,6.2761721000427455,6.512802624501615
223,Anthony Ramos,Masculino,456.179.230-99,23,vitoria50@example.com,715,8.350159739864289,9.868696301232493,6.5989230859722525
224,Clara da Mota,Feminino,671.983.520-30,19,diasnoah@example.net,682,9.290590887940436,6.439184427295199,9.920935400251043
225,Sophia Dias,Feminino,620.175.438-53,19,vinicius52@example.net,684,5.003007179488366,,
226,Mariana Carvalho,Feminino,204.631.957-52,22,manuela26@example.com,658,,,
227,Dr. Henrique Nunes,Masculino,084.651.397-84,27,amoreira@example.org,798,,,
228,Esther Correia,Feminino,193.805.674-48,26,santosisabel@example.org,794,,,
229,Danilo Moura,Masculino,972.385.064-83,20,noah91@example.com,718,5.87136827038147,,
230,Stella da Paz,Feminino,278.169.345-64,21,francisco99@example.com,725,9.462773368920951,,
231,Breno Cavalcanti,Masculino,427.568.190-85,27,catarinada-cunha@example.com,721,6.415889238144059,,
232,João Guilherme Correia,Masculino,498.570.213-79,26,bsouza@example.com,671,,,
233,Stephany Souza,Feminino,293.045.716-34,28,maria-luizacardoso@example.org,770,,,
234,Dr. Gustavo Henrique Gonçalves,Masculino,413.506.978-93,23,natalia90@example.com,735,5.0218369031915975,9.477829709822473,8.738235330220046
235,Carolina Cardoso,Feminino,492.813.067-78,18,davi19@example.net,753,7.8528511730291415,5.111220238444407,9.834236753321608
236,Srta. Bárbara Lopes,Feminino,437.510.926-25,27,fariasluiz-otavio@example.com,751,5.830173934189766,7.176995475501396,7.194164329713038
237,Sra. Ana Lívia Ribeiro,Feminino,693.254.081-98,21,irezende@example.net,697,,,
238,Vitor Gabriel Moura,Masculino,265.017.493-52,19,rezendepedro-miguel@example.net,705,9.605469102477413,8.943844316964434,6.645805131768328
239,Murilo Moreira,Masculino,157.964.083-48,25,xdas-neves@example.org,661,6.3666127483205575,,
240,Dra. Camila Cardoso,Feminino,041.957.368-20,20,moreiraana-luiza@example.net,757,9.340989625380853,9.446221963600262,6.191276921182675
241,Igor Porto,Masculino,652.801.794-85,25,kevingomes@example.com,785,7.2045723236375165,,
242,Yasmin da Paz,Feminino,684.712.093-22,24,ybarros@example.org,733,6.593379710811691,8.62084873140804,6.498626443944496
243,Agatha Pinto,Feminino,289.475.306-38,22,silvajoao-vitor@example.org,658,6.133721244023779,5.58703222694971,5.9689980668119125
