CPF,Nome,Idade,Sexo,Email,Nota do enem,Abandono,Semestre em que abandonou,CRA no segundo semestre,CRA no quarto semestre,CRA no sexto semestre
693.841.257-09,Maria Sophia Silva,19,F,stellafreitas@example.org,780,False,,5.571298878661145,8.746496445223167,7.263891964304373
482.675.193-19,Kevin Rezende,26,M,goncalvesyuri@example.net,694,False,,6.625207386268583,9.159587226999067,6.574730515702731
439.175.026-07,Marcelo Porto,20,M,mpereira@example.org,758,False,,8.417933264381475,9.494449365653356,7.078023936838345
409.628.157-30,Calebe Barros,26,M,diaserick@example.com,691,False,,7.659833020914037,9.266392096526783,5.916800144230779
814.325.079-23,Natália Correia,25,F,alice21@example.net,788,True,1.0,,,
739.841.256-82,Alexia Farias,18,F,vmoura@example.net,645,False,,7.519173279795881,6.066858681247613,9.397277508010522
791.524.830-88,Ana Vitória da Rosa,24,F,jfarias@example.com,722,True,2.0,,,
063.472.589-00,Pedro Henrique Oliveira,19,M,wcastro@example.net,724,True,7.0,7.391291591542486,9.27101523094628,8.239708389669001
126.530.749-07,Luiz Henrique Ferreira,18,M,nrodrigues@example.net,701,False,,7.49098083415959,8.305125265818605,7.523101525705906
473.015.968-39,Dr. Noah da Rosa,22,M,carolinamoraes@example.net,659,True,1.0,,,
302.148.597-97,Maria Alice Viana,19,F,gcardoso@example.com,686,True,6.0,5.686917596339435,8.168731536845849,
530.174.682-08,Emanuelly Mendes,19,F,vcavalcanti@example.net,710,False,,7.4234452173372425,6.417753780988106,5.324611127778952
048.732.516-80,Sr. Benjamin Duarte,20,M,joao-felipealmeida@example.org,726,False,,9.608511414195647,6.317994781747383,5.651152083716898
467.230.195-80,Daniela Rezende,27,F,anthony20@example.org,697,True,3.0,8.841313105366927,,
516.243.870-71,Valentina Campos,19,F,lucas33@example.com,657,True,1.0,,,
360.825.719-59,Rafaela Monteiro,22,F,mariane95@example.com,660,False,,9.719029483772356,7.992125509788902,5.745577604002227
674.958.132-37,Ian Rodrigues,24,M,freitaskamilly@example.org,730,False,,7.763694188500562,6.167409448378363,7.200122785867082
184.937.605-01,Maysa Freitas,25,F,ada-mata@example.com,684,True,4.0,7.918020483554153,,
968.324.751-28,Lucas Gabriel Martins,28,M,lda-mata@example.com,661,True,3.0,5.4251366022645975,,
691.037.284-04,Pietra Almeida,28,F,helenasilveira@example.org,687,True,8.0,9.53427747729766,9.22052493341183,9.892203166304167
502.149.678-67,Lavínia Souza,24,F,lavinia79@example.org,755,False,,9.948782950105553,7.244923067121561,8.407463590381708
038.672.914-03,Eduardo Fogaça,19,M,upinto@example.net,732,True,7.0,7.061962237974499,9.391300503055895,5.1728924027389365
510.794.826-01,Olivia da Rosa,26,F,da-rosamarcelo@example.com,795,False,,8.287370416523386,7.175985285315721,9.404864796487647
069.487.531-75,Maysa Silveira,23,F,araujothales@example.org,668,False,,7.181971667296745,5.839512789524669,6.818328450587208
639.078.524-00,Sofia Lima,22,F,diasleticia@example.org,680,False,,7.408576888606552,9.08775471616109,7.51279160201897
672.159.048-49,Henrique Moura,21,M,cauerezende@example.net,725,True,1.0,,,
851.974.603-93,Sr. Theo Rocha,20,M,augustoda-rosa@example.com,692,True,3.0,6.2695906358539055,,
765.240.938-10,Maria Cecília Gonçalves,19,F,da-cunhaenrico@example.net,755,True,2.0,,,
032.716.895-12,Eduarda Nunes,25,F,tnunes@example.net,739,True,2.0,,,
574.032.916-70,Ana Beatriz Almeida,22,F,isaacpeixoto@example.net,741,True,5.0,7.757603622218295,9.404455135006849,
953.872.041-50,Rafael Azevedo,19,M,anabarbosa@example.net,719,True,6.0,6.49402602513088,6.9309889676068135,
056.129.384-89,Luana Rodrigues,18,F,ana-liviacunha@example.net,645,False,,8.752907547978026,5.751576761549277,5.685150757006551
281.735.960-77,Davi da Rocha,23,M,natalia98@example.org,713,False,,7.5215814035534585,6.238781245591339,6.326527808707461
918.574.302-04,Alícia Sales,27,F,clara27@example.org,666,True,4.0,6.453780117053167,,
283.765.401-90,Sr. Guilherme Silva,25,M,zazevedo@example.org,777,False,,8.0643130258473,5.954996662028126,9.951683134115958
854.790.316-00,Calebe Nascimento,28,M,davi-luiz54@example.org,692,True,2.0,,,
720.915.436-16,Ana Júlia Gonçalves,19,F,samuelcarvalho@example.com,693,True,7.0,6.7303717875513005,9.11893844701882,9.580863027514766
697.453.208-38,Alexandre da Cunha,25,M,luiz-miguelcastro@example.com,764,False,,5.01388309780058,5.885464095663156,9.45962779499449
907.685.241-30,Heitor Carvalho,19,M,da-rochamaria-fernanda@example.org,734,True,2.0,,,
346.529.780-65,Dr. Antônio Dias,26,M,matheus53@example.com,772,True,4.0,7.209259472682545,,
523.967.041-25,Lucca Correia,21,M,davi-lucca16@example.net,691,True,5.0,5.764083490849324,6.459837991192076,
013.684.729-31,Igor Duarte,19,M,agatha20@example.com,673,False,,6.771158718032124,6.260830696624221,7.49490183524335
154.780.293-60,João Castro,23,M,leonardo88@example.org,685,False,,9.742475232136727,7.540010948000742,5.082926892061546
064.872.359-38,Davi Lucas Alves,21,M,kaique53@example.org,715,True,1.0,,,
786.510.493-66,Ian Duarte,28,M,eduardonunes@example.net,789,False,,5.000429388441347,8.773418383165088,5.152231150439771
603.541.297-16,Bernardo Alves,20,M,joao-gabriel61@example.net,719,False,,7.647675385306547,8.048326590874213,5.291058678243334
132.894.067-50,Gustavo Sales,27,M,vitor16@example.net,672,True,8.0,8.041176071851954,5.868172283688321,6.394706027644164
451.763.089-75,Maria Clara Porto,25,F,brenda32@example.com,760,False,,8.03431608276308,8.991577123011302,8.93196275542352
205.184.639-15,Sr. Miguel Ferreira,26,M,lopesbreno@example.org,709,False,,7.892599914444238,8.772333186644145,6.485023426093624
932.714.605-07,Dra. Laís da Paz,26,F,danielrocha@example.net,797,True,4.0,5.7323495305793255,,
037.152.689-21,Dra. Isabella Lopes,24,F,henrique84@example.com,658,True,8.0,9.81796748275532,9.592377580942593,9.94189936229674
615.087.243-26,Ana Laura Nunes,26,F,mnunes@example.org,692,True,3.0,9.5605617803254,,
356.987.210-68,Alexandre Costa,27,M,nogueiraclara@example.com,789,False,,5.643311892470652,9.872235867958855,6.099045388606546
867.940.135-84,Sra. Mariana da Luz,19,F,wcosta@example.org,684,False,,7.529065230991722,7.8520918264929565,9.269152713054403
279.805.413-32,Rodrigo Freitas,27,M,eloah05@example.net,781,False,,5.431933898234007,8.76052269134355,9.104154904597864
462.715.398-82,Ana Laura Sales,21,F,uda-rosa@example.org,752,False,,5.843881089545589,6.299946435802943,5.291831302485734
716.480.923-22,Maysa Barros,27,F,tpires@example.net,648,True,4.0,9.5397011179634,,
752.980.631-95,João Miguel da Mota,27,M,ycastro@example.com,751,False,,8.902337852870133,5.900217732079842,9.40587334117744
438.207.516-53,Diego Santos,19,M,zcastro@example.com,759,True,1.0,,,
394.820.176-50,Davi Luiz Barbosa,28,M,ncostela@example.com,739,True,1.0,,,
573.206.491-52,Isabel Fernandes,20,F,eduardo47@example.com,710,False,,8.728864217354879,5.74247050119692,5.694617082079072
864.319.275-91,Evelyn Pereira,26,F,qmendes@example.net,795,False,,5.076622452088747,5.507683162337105,5.401528116224203
396.017.524-80,Larissa da Paz,23,F,isadora66@example.net,695,False,,9.414644790708499,5.700384790041434,6.920863554460646
278.695.401-02,Mariane da Costa,28,F,castrobryan@example.org,790,True,8.0,9.487757671676931,6.822303723641377,5.40192478115812
643.958.721-82,Pietra Rodrigues,18,F,cardosomarcelo@example.net,673,False,,9.371116747545067,7.564414312519626,6.757085538669042
971.458.062-58,Helena Porto,26,F,vitor-gabrielda-conceicao@example.org,757,True,3.0,6.139546996665032,,
930.178.254-50,Sra. Bianca da Rosa,19,F,eda-paz@example.org,743,False,,6.421406027816774,9.737741309532847,5.5636329215933
426.389.750-10,Thales Viana,27,M,fernando60@example.com,791,True,1.0,,,
347.106.985-20,Dr. Rafael Barros,23,M,mcampos@example.com,713,True,4.0,7.2394117723427875,,
502.743.916-43,Pedro Lucas Farias,18,M,sabrinada-cunha@example.com,799,False,,9.545400405863028,6.711467589118075,6.175619159980517
740.261.958-30,Leonardo da Rosa,23,M,ana-vitoria07@example.com,765,True,1.0,,,
825.360.471-80,Luiz Fernando das Neves,27,M,ana-julialopes@example.net,754,True,1.0,,,
631.450.927-07,Ana Julia da Cruz,27,F,benjamin36@example.com,735,False,,6.0318700650495956,9.677923438079947,6.457052113176568
768.152.930-68,Davi Lucas Martins,25,M,moraesgabriela@example.net,734,False,,5.554622193599962,6.562006261536379,8.856418174726326
352.967.810-40,Melissa Nunes,20,F,rezendeluigi@example.com,785,True,3.0,8.19349527448658,,
938.560.214-42,Benício da Cunha,22,M,ljesus@example.org,768,False,,5.404201244896297,5.605876994093451,8.539254575977651
750.613.429-25,Alexia Viana,22,F,ccunha@example.org,695,False,,5.422929654363294,5.702065551635352,8.35012556928322
416.937.205-07,Maria Clara da Mota,28,F,enzocampos@example.net,656,False,,6.8113861204671995,5.670729214726461,5.683052873259716
821.064.597-85,Nina Sales,23,F,xpeixoto@example.com,751,True,7.0,6.253458551644197,7.789699729552671,7.434930393812671
684.201.739-40,Catarina Moreira,20,F,silvaisadora@example.net,691,True,7.0,5.854921165285075,6.780111926816191,8.481637129429215
902.135.784-41,Júlia Cavalcanti,24,F,luigicorreia@example.org,700,True,7.0,6.07212195272921,6.001939453781793,6.139485013148223
758.641.903-57,Sarah Nogueira,19,F,isabellasilva@example.org,645,True,6.0,9.420688200672187,7.609480880692551,
105.649.732-70,Dr. Joaquim Barros,28,M,joaquimgoncalves@example.com,770,True,4.0,6.708109701312338,,
870.926.341-13,Ana Beatriz Rocha,20,F,lucas-gabrielnunes@example.net,800,True,3.0,8.089751520695913,,
684.091.375-93,Esther Barbosa,19,F,fcorreia@example.org,645,False,,9.170985839432156,8.577480127688023,7.6848304099185745
831.724.605-17,Sophie Pinto,28,F,peixotojoana@example.com,674,True,2.0,,,
925.376.804-56,Kevin Gonçalves,19,M,lopescarolina@example.com,718,False,,5.955806161751369,6.672476588769008,8.196336577364594
468.152.370-44,Júlia Castro,28,F,cecilia95@example.com,780,False,,6.3816228217713356,5.275056942271142,9.706601668100824
013.529.678-12,Davi Lucas Gomes,19,M,carlos-eduardo61@example.org,749,True,4.0,9.54462315576035,,
391.824.760-04,Mariana Cunha,25,F,tmoraes@example.com,787,False,,7.041367205265495,6.757917749671127,7.44019751522218
743.290.165-16,Danilo Ferreira,21,M,enascimento@example.com,694,False,,7.34590902944054,8.207022604255886,7.3124748799406865
610.354.729-61,Pedro Campos,18,M,da-pazgabrielly@example.org,733,True,2.0,,,
427.396.051-61,Amanda Oliveira,18,F,heloisa13@example.net,692,False,,8.45802154377089,8.777329581477522,8.207806627689394
270.543.196-99,Júlia Costa,25,F,correiasabrina@example.org,725,False,,7.130988055110704,5.182257057070878,6.582489700132725
435.602.198-33,Dra. Pietra Lopes,28,F,pedro-miguelporto@example.org,698,True,8.0,9.444456566375582,8.430429462215862,6.690394805173853
478.192.036-50,André Novaes,25,M,evelyn13@example.org,690,False,,9.665908964138996,9.06925603911941,7.631739483557733
874.105.639-66,Henrique Duarte,20,M,juliana28@example.net,767,True,5.0,7.744691413802565,7.7588465646106926,
107.256.983-30,João Guilherme Aragão,25,M,melissa31@example.net,754,False,,6.211802455110927,6.53307387728964,5.716119532574715
635.749.281-73,Luiz Miguel Monteiro,25,M,ecarvalho@example.com,709,True,4.0,5.217579706241599,,
210.893.765-02,Joana Jesus,19,F,alexia26@example.com,718,True,3.0,9.922938138333514,,
319.587.402-41,Sra. Maria Eduarda Ferreira,27,F,rebecapeixoto@example.com,731,False,,5.138286396964936,9.054583653945969,7.599109066030198
287.645.031-35,João Vitor Viana,22,M,ribeirothales@example.net,673,True,4.0,5.809031799056272,,
479.065.312-99,Davi Lucas Barros,23,M,ramosgabriel@example.net,725,False,,8.566866042531844,9.213154596324422,5.7458025587638
435.801.762-26,Augusto Ferreira,23,M,miguel29@example.org,705,False,,6.338490087776577,8.813252095201236,9.581843146224774
376.429.801-40,Ana Lívia Freitas,27,F,da-pazenzo@example.com,640,False,,7.73095230828754,5.771570400119098,9.407326005366052
197.340.258-05,Daniel Mendes,26,M,martinsanthony@example.com,668,False,,6.866120045564358,6.506410664640857,8.60869747061418
354.761.208-07,Gabriela Nogueira,27,F,costapaulo@example.net,710,False,,6.728125686423327,9.244987437842099,8.76988550095196
972.360.185-03,Emanuelly Farias,21,F,vitor-hugo01@example.org,727,True,8.0,8.720622460462815,7.1656056517111475,5.9365656297580465
523.687.041-08,Ana Sophia Cunha,22,F,valentina37@example.org,672,False,,7.989600157222224,9.663432629233629,6.233586022070137
396.480.512-24,Dr. Benício Sales,26,M,noahduarte@example.net,705,True,5.0,7.848669430691032,7.30397100912052,
948.657.013-20,Maria Alice Fernandes,20,F,lopesvitor@example.net,738,True,2.0,,,
158.037.426-35,Thomas Nogueira,26,M,maria-vitoriasantos@example.com,726,False,,9.524771934012499,6.263650916666636,5.101927292488401
029.756.138-30,Alana Teixeira,23,F,nogueirarebeca@example.net,670,False,,9.942802516646827,5.929202744093467,5.23871267375461
675.401.239-07,Davi Lucca Martins,28,M,laraujo@example.org,662,True,3.0,9.703012851028156,,
027.495.381-14,Joaquim Cavalcanti,22,M,igor07@example.net,755,False,,5.243799903718055,7.3174020037046725,7.142377652430118
150.973.864-93,Dr. Diego Mendes,24,M,da-rosaemanuel@example.net,716,False,,5.760698387540434,9.24612246968484,6.704669497010308
671.059.248-02,Diego Gonçalves,23,M,kevinnunes@example.net,705,True,5.0,6.115979163377373,7.043079770025786,
895.301.246-51,Marcelo Rezende,19,M,alanafarias@example.net,665,True,3.0,8.638909164648213,,
461.952.307-07,Sra. Lívia Cunha,23,F,joao-lucaslima@example.net,676,True,4.0,5.514940291741402,,
345.729.806-83,Bryan Souza,23,M,agathaalmeida@example.net,776,True,3.0,9.503219161240033,,
160.758.429-85,Maysa da Paz,22,F,julia32@example.net,693,True,1.0,,,
742.156.903-07,Amanda Santos,21,F,lavinia18@example.net,731,True,6.0,6.783885127913697,9.557408144141919,
913.285.074-32,Dr. Juan Fogaça,22,M,rcardoso@example.net,756,True,3.0,6.650885439172157,,
245.038.196-15,Ana Júlia Ferreira,19,F,luiz-henrique61@example.net,791,True,7.0,8.533844338323842,7.650232601723877,9.20609020011332
701.346.892-40,Antônio Caldeira,27,M,speixoto@example.com,800,True,5.0,5.879793150675906,7.786316594153661,
509.743.162-61,Kamilly Cardoso,28,F,sofianunes@example.org,800,False,,7.253871652698878,7.882412138876752,7.022233398375418
140.935.867-48,Henrique Fogaça,18,M,brunopinto@example.com,762,False,,6.941098796854984,8.769244451069111,9.863731136519503
275.418.369-82,Samuel da Costa,23,M,barrosana@example.org,646,False,,6.126874320538667,7.419248337790245,5.343749975963081
693.147.028-04,Sr. Emanuel da Rosa,26,M,sarah88@example.net,729,False,,7.076624807928155,8.040620756632494,5.388210234301373
954.370.681-66,João Lucas da Rosa,27,M,carolinada-mota@example.com,790,False,,6.04358717045247,7.147717434793503,9.648065125593746
185.749.026-67,Nina Vieira,22,F,gomeseloah@example.net,703,False,,6.563713460493281,9.1923487830927,7.862352019004081
513.940.762-07,Dr. Fernando Santos,18,M,luccagomes@example.org,707,True,7.0,7.631959742217453,6.0364517951834635,7.170433223608213
983.712.504-79,Julia Costela,27,F,helenamoreira@example.org,744,True,7.0,7.192417861774775,8.064236365327615,9.115389595237364
095.863.417-39,Ana Vitória Carvalho,25,F,gpinto@example.org,747,False,,7.568264213234726,9.090807646792747,5.293119900011288
193.846.075-84,Bruno Correia,25,M,tpires@example.net,660,False,,7.311502688584404,7.038114277182362,6.9826380783204565
280.439.765-38,Carolina Pereira,27,F,das-nevesheitor@example.net,672,True,6.0,6.970480005679736,7.931540523329651,
541.386.702-62,Sra. Alana Cardoso,19,F,monteiromarcelo@example.net,705,False,,7.163794111992789,8.737048112204393,8.50480706203711
016.728.493-22,Sr. Vicente Barros,20,M,ana-luiza21@example.org,723,False,,5.243995474509246,6.866193881594622,8.435535981348284
609.873.125-02,Lavínia Melo,27,F,xmartins@example.org,650,False,,5.705783278999186,9.808048320534809,7.274036865850988
839.204.571-88,Benjamin Santos,25,M,bdas-neves@example.com,723,False,,9.027720973480463,5.105289214524133,7.008381359581125
109.278.536-12,Vicente Ferreira,25,M,saragao@example.net,757,True,8.0,7.249142930503847,9.072077099422723,5.276373387087482
715.968.304-84,Sr. Erick Lopes,27,M,caldeiramatheus@example.net,766,True,3.0,7.405969830221107,,
913.724.068-40,Vitor Hugo Freitas,26,M,ymoreira@example.com,707,True,6.0,6.6902286026165125,7.497147111606758,
034.169.827-03,Cauã Ribeiro,26,M,tcunha@example.net,710,True,6.0,5.793666440916116,8.353535083043637,
263.718.495-73,João Pedro Costa,25,M,mdias@example.org,741,False,,8.160439240671018,7.3184033797403885,9.987086322445975
895.624.371-91,Levi Duarte,20,M,carolina29@example.com,656,True,6.0,8.10771677884249,6.573895338882702,
790.865.421-58,Isabel Caldeira,26,F,da-luzgustavo-henrique@example.net,649,False,,9.934325588576693,7.977949413911438,8.383407728066006
468.301.275-80,Levi Ferreira,22,M,eda-mata@example.net,728,True,6.0,5.050566319103248,7.7018583243427745,
856.410.972-76,Emanuella Vieira,21,F,mariana22@example.org,783,False,,6.523113770508089,9.546148726232886,8.977349557859664
105.432.869-24,Gustavo da Rocha,21,M,pda-mata@example.net,756,True,6.0,9.224714849193347,7.334516417391893,
604.857.231-07,Benjamin Cardoso,27,M,francisco28@example.com,725,False,,6.0472529437835965,7.93461095529759,8.6221456808053
864.532.091-60,Samuel Cardoso,21,M,levi56@example.org,707,False,,6.913092605546298,9.560952837050976,9.031624506999675
502.348.971-04,Sra. Melissa da Luz,22,F,soliveira@example.net,645,False,,7.688426547900046,7.843162338286907,9.089896437444814
207.543.168-07,Levi da Luz,23,M,ferreirarebeca@example.org,744,True,5.0,8.996990066484686,9.752542813801599,
741.359.608-39,Luiz Miguel Pereira,24,M,luna71@example.org,671,False,,9.386545904153396,9.37605611774135,8.685817476327244
948.236.175-09,Felipe Martins,24,M,raraujo@example.com,756,False,,5.771809841984738,5.547526691469558,6.902708127718894
609.325.847-56,Carlos Eduardo Rezende,19,M,zcardoso@example.net,742,False,,5.610452051851597,9.095295954083415,8.860463456392122
547.208.196-30,Thomas Duarte,21,M,sda-luz@example.net,673,True,1.0,,,
293.465.017-07,Nathan Almeida,26,M,camilada-rosa@example.net,748,True,5.0,9.001541164174448,7.621271314519239,
156.720.394-99,Samuel Correia,20,M,davi-luizmonteiro@example.org,660,True,7.0,5.750556108345699,6.506872964888885,8.70281521274515
862.934.075-47,Ana Julia Castro,24,F,rmartins@example.net,707,True,8.0,7.311493532279345,9.767615697686143,6.192064242724824
740.152.683-26,Luna Moreira,27,F,alanacaldeira@example.org,668,True,7.0,6.148582977318718,6.806453250402302,7.3196385998844065
956.704.832-00,Giovanna Araújo,23,F,silvacarolina@example.org,779,True,7.0,7.970619582711544,6.219815804714047,8.86779004295187
054.976.231-07,Agatha Vieira,28,F,jesuserick@example.org,669,False,,5.635876443209802,5.48783074944032,6.070694465491327
927.138.546-28,Henrique Costa,19,M,dfernandes@example.org,733,False,,9.299458286947855,9.4625729483316,5.711207113297948
495.260.378-47,Renan Rocha,22,M,rezendeisis@example.com,667,True,7.0,7.991105869008445,9.154403387362851,9.764373361187632
190.873.562-77,Marcos Vinicius da Paz,26,M,mirella77@example.com,697,True,3.0,6.785808060036759,,
598.473.062-65,Carlos Eduardo Teixeira,26,M,tcastro@example.net,721,False,,7.177756998349505,6.634614339406703,9.341264193248604
612.957.348-00,Bernardo Correia,20,M,davi-lucas77@example.org,673,False,,8.973358732947514,9.422329127326956,8.61695806510582
318.642.709-69,Pedro Lucas Silva,28,M,gustavo-henrique78@example.net,724,True,3.0,7.347716007847329,,
834.256.179-82,Noah Freitas,19,M,wpeixoto@example.org,672,True,3.0,8.242749332828367,,
683.710.459-48,Gabrielly Campos,18,F,vpeixoto@example.com,669,True,3.0,8.67009023721974,,
543.286.971-37,Juan Almeida,27,M,laisfreitas@example.org,788,False,,8.054405700294955,9.863198838762514,6.682954659736362
069.748.125-58,Sra. Clara Cardoso,28,F,ealmeida@example.com,765,False,,7.2162859679366385,5.809304290877212,7.985954870083778
051.768.293-12,Emilly Lopes,21,F,melissafogaca@example.net,776,False,,5.6621211993168,6.009970437346041,9.380493170738633
273.408.951-32,Esther Melo,19,F,laracardoso@example.org,765,True,7.0,5.071634068268501,5.3395130849648895,6.75086857945943
